name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997    ! +0.523 +/- 0.384 (+0.525sig, 0.385)!     -0.919 +/- 0.936 (-0.922sig, 0.939)      -0.127
CMS_htt_em_00_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.015 (+4.040sig, 0.015)!     -0.302 +/- 0.970 (-0.305sig, 0.979)      -0.020
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +2.351 +/- 0.174 (+2.374sig, 0.175)!     -0.154 +/- 0.968 (-0.155sig, 0.977)      +0.009
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.028 (+4.040sig, 0.028)!     +0.362 +/- 0.970 (+0.365sig, 0.980)      -0.029
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990    ! +1.368 +/- 0.364 (+1.382sig, 0.368)!     -0.063 +/- 0.970 (-0.063sig, 0.979)      -0.007
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990    ! +1.606 +/- 0.017 (+1.622sig, 0.017)!     -0.089 +/- 0.976 (-0.090sig, 0.985)      -0.001
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.635 (+0.000sig, 0.642)     -0.362 +/- 0.943 (-0.365sig, 0.953)      -0.035
CMS_htt_em_00_8TeV_QCD_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.012 (+4.040sig, 0.012)!     -0.413 +/- 0.944 (-0.417sig, 0.953)      -0.073
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.344 (+4.040sig, 0.348)!     -0.373 +/- 0.839 (-0.377sig, 0.847)      -0.010
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.009 (+4.040sig, 0.009)!     +1.183 +/- 0.921 (+1.195sig, 0.931)      -0.023
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990    ! +3.964 +/- 0.181 (+4.003sig, 0.183)!     -0.205 +/- 0.804 (-0.207sig, 0.812)      -0.065
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +3.366 +/- 0.163 (+3.399sig, 0.164)!     -0.332 +/- 0.940 (-0.335sig, 0.949)      -0.031
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.014 (+4.040sig, 0.014)!     -0.062 +/- 0.981 (-0.063sig, 0.990)      -0.006
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 5.287 (+4.040sig, 5.339)!     -0.036 +/- 0.978 (-0.036sig, 0.988)      +0.001
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.025 (+4.040sig, 0.025)!     +0.079 +/- 0.974 (+0.080sig, 0.984)      -0.005
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +3.022 +/- 0.346 (+3.052sig, 0.350)!     -0.020 +/- 0.977 (-0.020sig, 0.986)      -0.003
CMS_htt_em_00_8TeV_TTbar_bin_5               0.000 +/- 0.990    ! +1.241 +/- 0.461 (+1.253sig, 0.465)!     -0.015 +/- 0.977 (-0.015sig, 0.986)      -0.001
CMS_htt_em_00_8TeV_WJets_bin_5               0.000 +/- 0.990    ! +1.143 +/- 0.454 (+1.155sig, 0.459)!     -0.385 +/- 0.935 (-0.389sig, 0.944)      -0.031
CMS_htt_em_01_8TeV_DYB_bin_14                0.000 +/- 0.990     -0.487 +/- 0.598 (-0.492sig, 0.604)     -0.004 +/- 0.953 (-0.004sig, 0.962)      +0.035
CMS_htt_em_01_8TeV_DYB_bin_15                0.000 +/- 0.990     -0.325 +/- 0.581 (-0.328sig, 0.586)     +0.085 +/- 0.960 (+0.086sig, 0.969)      +0.019
CMS_htt_em_01_8TeV_DYB_bin_16                0.000 +/- 0.990     -0.412 +/- 0.588 (-0.416sig, 0.594)     -0.009 +/- 0.936 (-0.009sig, 0.945)      +0.039
CMS_htt_em_01_8TeV_DYB_bin_17                0.000 +/- 0.990     -0.746 +/- 0.592 (-0.753sig, 0.598)     +0.125 +/- 0.958 (+0.126sig, 0.968)      +0.024
CMS_htt_em_01_8TeV_DYB_bin_18                0.000 +/- 0.990     -1.259 +/- 0.612 (-1.272sig, 0.618)     -0.224 +/- 0.970 (-0.226sig, 0.979)      +0.008
CMS_htt_em_01_8TeV_DYB_bin_19                0.000 +/- 0.990     -1.635 +/- 0.598 (-1.651sig, 0.604)     +0.078 +/- 0.959 (+0.079sig, 0.969)      +0.014
CMS_htt_em_01_8TeV_DYB_bin_2                 0.000 +/- 0.990     -1.690 +/- 0.603 (-1.707sig, 0.609)     +0.056 +/- 0.958 (+0.057sig, 0.968)      +0.072
CMS_htt_em_01_8TeV_DYS120_bin_10             0.000 +/- 0.990     -0.035 +/- 0.613 (-0.035sig, 0.620)     -0.008 +/- 0.976 (-0.008sig, 0.986)      +0.003
CMS_htt_em_01_8TeV_DYS120_bin_11             0.000 +/- 0.990     +0.050 +/- 0.627 (+0.050sig, 0.633)     +0.015 +/- 0.976 (+0.015sig, 0.986)      -0.002
CMS_htt_em_01_8TeV_DYS120_bin_12             0.000 +/- 0.990     +0.003 +/- 0.627 (+0.003sig, 0.634)     +0.005 +/- 0.976 (+0.005sig, 0.986)      -0.000
CMS_htt_em_01_8TeV_DYS120_bin_13             0.000 +/- 0.990     -0.083 +/- 0.629 (-0.084sig, 0.636)     -0.007 +/- 0.976 (-0.007sig, 0.986)      +0.002
CMS_htt_em_01_8TeV_DYS120_bin_15             0.000 +/- 0.990     +0.035 +/- 0.635 (+0.035sig, 0.641)     +0.002 +/- 0.977 (+0.002sig, 0.986)      -0.000
CMS_htt_em_01_8TeV_DYS120_bin_5              0.000 +/- 0.990    ! +4.000 +/- 0.124 (+4.040sig, 0.125)!     +0.463 +/- 0.982 (+0.467sig, 0.992)      -0.126
CMS_htt_em_01_8TeV_DYS120_bin_6              0.000 +/- 0.990     +1.434 +/- 0.579 (+1.448sig, 0.585)     -0.114 +/- 0.976 (-0.115sig, 0.985)      +0.014
