name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997    ! +0.902 +/- 0.236 (+0.905sig, 0.237)!     -0.304 +/- 0.938 (-0.305sig, 0.942)      -0.250
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.105 (+4.040sig, 0.106)!     +0.194 +/- 0.974 (+0.196sig, 0.984)      -0.025
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.005 (+4.040sig, 0.005)!     -0.123 +/- 0.984 (-0.124sig, 0.994)      +0.007
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.006 (+4.040sig, 0.006)!     -0.499 +/- 0.953 (-0.504sig, 0.962)      -0.022
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.008 (+4.040sig, 0.008)!     -0.055 +/- 0.985 (-0.056sig, 0.995)      +0.005
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.006 (+4.040sig, 0.006)!     +0.104 +/- 0.982 (+0.105sig, 0.992)      -0.012
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +3.501 +/- 0.399 (+3.536sig, 0.403)!     +0.038 +/- 0.983 (+0.039sig, 0.993)      -0.005
CMS_htt_em_00_8TeV_TTbar_bin_5               0.000 +/- 0.990    ! +4.000 +/- 0.007 (+4.040sig, 0.007)!     -0.023 +/- 0.985 (-0.024sig, 0.994)      +0.001
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! -4.000 +/- 0.140 (-4.040sig, 0.141)!     -0.114 +/- 0.981 (-0.115sig, 0.991)      -0.024
CMS_htt_em_01_8TeV_DYB_bin_16                0.000 +/- 0.990     -0.881 +/- 0.666 (-0.890sig, 0.673)     +0.020 +/- 0.959 (+0.020sig, 0.969)      -0.010
