name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997     +1.426 +/- 0.764 (+1.431sig, 0.767)    ! -0.260 +/- 0.310 (-0.261sig, 0.311)!      +0.206
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.018 (+4.040sig, 0.019)!     +0.753 +/- 1.244 (+0.760sig, 1.257)      +0.408
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990     +1.835 +/- 0.688 (+1.853sig, 0.695)     +0.173 +/- 0.743 (+0.175sig, 0.750)      -0.004
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990     +1.460 +/- 0.873 (+1.475sig, 0.881)     -0.052 +/- 0.742 (-0.053sig, 0.749)      -0.000
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.983 (+0.000sig, 0.993)    ! -0.436 +/- 1.850 (-0.441sig, 1.868)!      -0.543
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.072 (+4.040sig, 0.072)!     +0.925 +/- 0.554 (+0.935sig, 0.560)      +0.140
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.036 (+4.040sig, 0.036)!     -0.137 +/- 0.691 (-0.138sig, 0.697)      -0.061
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.015 (+4.040sig, 0.015)!     -0.092 +/- 0.963 (-0.093sig, 0.973)      +0.295
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.025 (+4.040sig, 0.026)!    ! +0.152 +/- 1.829 (+0.153sig, 1.847)!      -0.553
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990     +0.505 +/- 0.733 (+0.510sig, 0.740)     +0.041 +/- 1.075 (+0.042sig, 1.085)      +0.376
CMS_htt_em_00_8TeV_WJets_bin_5               0.000 +/- 0.990     +3.774 +/- 0.651 (+3.812sig, 0.658)     -0.310 +/- 1.243 (-0.313sig, 1.255)      +0.497
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! -4.000 +/- 0.453 (-4.040sig, 0.457)!    ! -0.117 +/- 2.089 (-0.118sig, 2.110)!      -0.531
CMS_htt_em_01_8TeV_DYB_bin_16                0.000 +/- 0.990     -0.699 +/- 0.951 (-0.706sig, 0.960)    ! +0.093 +/- 1.905 (+0.094sig, 1.924)!      -0.540
CMS_htt_em_01_8TeV_DYB_bin_17                0.000 +/- 0.990     -1.411 +/- 0.924 (-1.425sig, 0.933)    ! +0.178 +/- 1.812 (+0.180sig, 1.830)!      -0.543
CMS_htt_em_01_8TeV_DYB_bin_18                0.000 +/- 0.990     -3.276 +/- 0.924 (-3.309sig, 0.933)     +0.206 +/- 0.762 (+0.208sig, 0.770)      +0.221
CMS_htt_em_01_8TeV_DYB_bin_19                0.000 +/- 0.990    ! -4.000 +/- 0.406 (-4.040sig, 0.410)!    ! -0.431 +/- 2.031 (-0.435sig, 2.052)!      -0.542
CMS_htt_em_01_8TeV_DYS120_bin_10             0.000 +/- 0.990     +1.035 +/- 0.972 (+1.046sig, 0.982)    ! -0.112 +/- 2.345 (-0.114sig, 2.368)!      -0.555
CMS_htt_em_01_8TeV_DYS120_bin_11             0.000 +/- 0.990     +0.986 +/- 0.975 (+0.996sig, 0.985)    ! +0.087 +/- 1.885 (+0.088sig, 1.904)!      -0.549
