name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997     +2.594 +/- 0.909 (+2.603sig, 0.912)     -0.855 +/- 0.972 (-0.857sig, 0.975)      -0.165
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990     -0.274 +/- 1.296 (-0.277sig, 1.309)     +0.006 +/- 0.972 (+0.006sig, 0.982)      -0.022
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.105 (+4.040sig, 0.106)!     +0.157 +/- 0.973 (+0.158sig, 0.983)      -0.009
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990     +1.132 +/- 0.937 (+1.144sig, 0.947)     -0.091 +/- 0.983 (-0.092sig, 0.992)      -0.022
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990     +0.335 +/- 0.967 (+0.338sig, 0.977)     -0.010 +/- 0.982 (-0.011sig, 0.992)      -0.008
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     -0.080 +/- 0.862 (-0.081sig, 0.871)      -0.082
CMS_htt_em_00_8TeV_QCD_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.011 (+4.040sig, 0.011)!     -0.401 +/- 0.963 (-0.405sig, 0.972)      -0.050
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990    ! +2.603 +/- 0.491 (+2.629sig, 0.495)!     +0.074 +/- 0.867 (+0.075sig, 0.875)      -0.065
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.023 (+4.040sig, 0.023)!     +0.487 +/- 0.901 (+0.492sig, 0.910)      +0.010
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.248 (+4.040sig, 0.250)!     -0.414 +/- 0.910 (-0.418sig, 0.919)      -0.160
