name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997    ! +5.857 +/- 0.108 (+5.877sig, 0.108)!     -0.348 +/- 0.939 (-0.349sig, 0.942)      -0.282
CMS_htt_em_00_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.000 (+4.040sig, 0.000)!     -0.141 +/- 0.988 (-0.143sig, 0.998)      -0.038
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +3.927 +/- 0.081 (+3.966sig, 0.082)!     +0.123 +/- 0.968 (+0.124sig, 0.978)      -0.018
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.002 (+4.040sig, 0.002)!     +0.069 +/- 0.980 (+0.070sig, 0.990)      -0.018
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.003 (+4.040sig, 0.003)!     +0.052 +/- 0.979 (+0.052sig, 0.989)      -0.011
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.052 (+4.040sig, 0.053)!     -0.057 +/- 0.982 (-0.058sig, 0.992)      +0.004
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990    ! +0.000 +/- 0.245 (+0.000sig, 0.247)!     -0.463 +/- 0.783 (-0.468sig, 0.791)      -0.026
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990    ! +2.921 +/- 0.133 (+2.950sig, 0.135)!     +0.341 +/- 0.882 (+0.344sig, 0.891)      -0.029
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.002 (+4.040sig, 0.002)!     +0.331 +/- 0.896 (+0.334sig, 0.905)      -0.066
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.004 (+4.040sig, 0.005)!     +0.203 +/- 0.908 (+0.205sig, 0.917)      -0.029
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +3.065 +/- 0.153 (+3.095sig, 0.154)!     -0.202 +/- 0.948 (-0.204sig, 0.957)      -0.007
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.000 (+4.040sig, 0.000)!     -0.046 +/- 0.987 (-0.046sig, 0.997)      -0.009
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +1.878 +/- 0.079 (+1.896sig, 0.080)!     +0.030 +/- 0.981 (+0.030sig, 0.991)      -0.005
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.001 (+4.040sig, 0.001)!     +0.028 +/- 0.982 (+0.028sig, 0.992)      -0.008
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +4.000 +/- 0.002 (+4.040sig, 0.002)!     +0.023 +/- 0.982 (+0.023sig, 0.992)      -0.005
CMS_htt_em_00_8TeV_WJets_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.002 (+4.040sig, 0.002)!     +0.253 +/- 0.933 (+0.256sig, 0.942)      -0.050
CMS_htt_em_00_8TeV_WJets_bin_4               0.000 +/- 0.990    ! +4.000 +/- 0.005 (+4.040sig, 0.005)!     +0.165 +/- 0.931 (+0.167sig, 0.940)      -0.024
CMS_htt_em_00_8TeV_WJets_bin_5               0.000 +/- 0.990    ! +1.478 +/- 0.209 (+1.492sig, 0.211)!     -0.084 +/- 0.978 (-0.085sig, 0.988)      -0.003
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990     -2.399 +/- 1.046 (-2.423sig, 1.056)     -0.134 +/- 0.984 (-0.135sig, 0.994)      -0.045
CMS_htt_em_01_8TeV_DYB_bin_11                0.000 +/- 0.990    ! -3.024 +/- 0.100 (-3.054sig, 0.101)!     -0.347 +/- 0.936 (-0.350sig, 0.946)      +0.024
CMS_htt_em_01_8TeV_DYB_bin_12                0.000 +/- 0.990    ! -2.087 +/- 0.137 (-2.108sig, 0.139)!     -0.098 +/- 0.963 (-0.099sig, 0.973)      +0.032
CMS_htt_em_01_8TeV_DYB_bin_13                0.000 +/- 0.990    ! -1.142 +/- 2.990 (-1.153sig, 3.020)!     +0.264 +/- 0.968 (+0.267sig, 0.977)      -0.006
