name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997    ! +7.000 +/- 0.168 (+7.024sig, 0.168)!     -0.070 +/- 0.928 (-0.071sig, 0.931)      -0.225
CMS_htt_em_00_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.002 (+4.040sig, 0.002)!     -0.003 +/- 0.978 (-0.003sig, 0.988)      -0.038
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +2.382 +/- 0.297 (+2.406sig, 0.300)!     +0.016 +/- 0.968 (+0.016sig, 0.978)      -0.027
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.009 (+4.040sig, 0.009)!     -0.045 +/- 0.963 (-0.046sig, 0.973)      +0.001
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.009 (+4.040sig, 0.009)!     +0.144 +/- 0.975 (+0.145sig, 0.985)      -0.027
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.022 (+4.040sig, 0.022)!     -0.092 +/- 0.982 (-0.093sig, 0.991)      -0.004
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.613 (+0.000sig, 0.619)     -0.397 +/- 0.914 (-0.401sig, 0.923)      -0.056
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.011 (+4.040sig, 0.011)!     +0.522 +/- 0.889 (+0.527sig, 0.898)      -0.070
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.024 (+4.040sig, 0.024)!     -0.385 +/- 0.917 (-0.389sig, 0.926)      -0.051
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.002 (+4.040sig, 0.002)!     -0.003 +/- 0.984 (-0.003sig, 0.994)      -0.008
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +2.591 +/- 0.275 (+2.617sig, 0.278)!     +0.002 +/- 0.983 (+0.002sig, 0.993)      -0.008
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.009 (+4.040sig, 0.009)!     -0.013 +/- 0.984 (-0.014sig, 0.993)      -0.000
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +4.000 +/- 0.007 (+4.040sig, 0.007)!     +0.042 +/- 0.982 (+0.043sig, 0.992)      -0.008
CMS_htt_em_00_8TeV_TTbar_bin_5               0.000 +/- 0.990    ! +4.000 +/- 0.022 (+4.040sig, 0.023)!     -0.023 +/- 0.984 (-0.023sig, 0.994)      -0.001
CMS_htt_em_00_8TeV_WJets_bin_5               0.000 +/- 0.990    ! +4.000 +/- 0.032 (+4.040sig, 0.032)!     -0.292 +/- 0.946 (-0.295sig, 0.956)      -0.037
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990     +0.007 +/- 0.619 (+0.007sig, 0.625)     -0.030 +/- 0.982 (-0.031sig, 0.992)      -0.077
CMS_htt_em_01_8TeV_DYB_bin_11                0.000 +/- 0.990     -2.931 +/- 0.574 (-2.960sig, 0.580)     -0.132 +/- 0.937 (-0.133sig, 0.946)      +0.060
CMS_htt_em_01_8TeV_DYB_bin_12                0.000 +/- 0.990     -1.129 +/- 0.564 (-1.140sig, 0.570)     -0.088 +/- 0.962 (-0.089sig, 0.972)      +0.033
CMS_htt_em_01_8TeV_DYB_bin_13                0.000 +/- 0.990     -0.959 +/- 0.565 (-0.968sig, 0.570)     +0.298 +/- 0.964 (+0.301sig, 0.974)      +0.007
CMS_htt_em_01_8TeV_DYB_bin_14                0.000 +/- 0.990     -1.289 +/- 0.562 (-1.302sig, 0.568)     -0.116 +/- 0.961 (-0.117sig, 0.971)      +0.024
CMS_htt_em_01_8TeV_DYB_bin_15                0.000 +/- 0.990     -1.537 +/- 0.554 (-1.552sig, 0.559)     -0.687 +/- 0.952 (-0.694sig, 0.962)      +0.016
CMS_htt_em_01_8TeV_DYB_bin_16                0.000 +/- 0.990     -1.297 +/- 0.555 (-1.310sig, 0.561)     -0.353 +/- 0.954 (-0.356sig, 0.964)      +0.028
CMS_htt_em_01_8TeV_DYB_bin_17                0.000 +/- 0.990     -0.776 +/- 0.586 (-0.783sig, 0.591)     +0.129 +/- 0.969 (+0.130sig, 0.978)      -0.007
CMS_htt_em_01_8TeV_DYB_bin_18                0.000 +/- 0.990     -2.648 +/- 0.564 (-2.675sig, 0.569)     -0.072 +/- 0.937 (-0.073sig, 0.946)      -0.067
CMS_htt_em_01_8TeV_DYB_bin_19                0.000 +/- 0.990     -1.859 +/- 0.583 (-1.878sig, 0.589)     -0.023 +/- 0.949 (-0.023sig, 0.959)      -0.004
CMS_htt_em_01_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! -4.000 +/- 0.258 (-4.040sig, 0.260)!     +0.105 +/- 0.956 (+0.106sig, 0.965)      +0.111
CMS_htt_em_01_8TeV_DYS120_bin_1              0.000 +/- 0.990    ! -1.844 +/- 0.141 (-1.862sig, 0.143)!     -0.083 +/- 0.964 (-0.084sig, 0.974)      -0.193
CMS_htt_em_01_8TeV_DYS120_bin_10             0.000 +/- 0.990    ! -2.901 +/- 2.137 (-2.930sig, 2.158)!     +0.067 +/- 0.982 (+0.068sig, 0.992)      -0.001
