name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997    ! +0.642 +/- 0.199 (+0.644sig, 0.200)!     +0.033 +/- 1.053 (+0.033sig, 1.056)      +0.036
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.007 (+4.040sig, 0.007)!     +0.121 +/- 0.966 (+0.122sig, 0.976)      -0.019
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.008 (+4.040sig, 0.008)!     -0.436 +/- 0.975 (-0.440sig, 0.985)      +0.028
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.012 (+4.040sig, 0.012)!     -0.078 +/- 0.993 (-0.079sig, 1.003)      +0.006
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.007 (+4.040sig, 0.007)!     +0.182 +/- 0.983 (+0.184sig, 0.992)      -0.019
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +4.000 +/- 0.008 (+4.040sig, 0.008)!     +0.029 +/- 0.986 (+0.029sig, 0.996)      -0.029
CMS_htt_em_00_8TeV_TTbar_bin_5               0.000 +/- 0.990    ! +4.000 +/- 0.006 (+4.040sig, 0.006)!     -0.144 +/- 0.986 (-0.145sig, 0.996)      -0.011
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990     -0.242 +/- 0.634 (-0.245sig, 0.640)     -0.008 +/- 0.985 (-0.008sig, 0.995)      -0.069
CMS_htt_em_01_8TeV_DYB_bin_16                0.000 +/- 0.990     -0.842 +/- 0.566 (-0.850sig, 0.571)     -0.079 +/- 0.964 (-0.080sig, 0.974)      -0.031
CMS_htt_em_01_8TeV_DYB_bin_17                0.000 +/- 0.990     -1.402 +/- 0.578 (-1.416sig, 0.584)     +0.133 +/- 0.964 (+0.135sig, 0.974)      -0.030
CMS_htt_em_01_8TeV_DYB_bin_18                0.000 +/- 0.990     -3.480 +/- 0.581 (-3.514sig, 0.586)     +0.292 +/- 0.971 (+0.295sig, 0.980)      +0.043
CMS_htt_em_01_8TeV_DYB_bin_19                0.000 +/- 0.990    ! -4.000 +/- 0.161 (-4.040sig, 0.163)!     -0.161 +/- 0.954 (-0.163sig, 0.963)      +0.154
CMS_htt_em_01_8TeV_DYS120_bin_1              0.000 +/- 0.990    ! -4.000 +/- 0.049 (-4.040sig, 0.049)!     -0.030 +/- 0.994 (-0.030sig, 1.004)      -0.368
CMS_htt_em_01_8TeV_DYS120_bin_10             0.000 +/- 0.990     -4.000 +/- 1.278 (-4.040sig, 1.291)     -0.111 +/- 0.985 (-0.113sig, 0.995)      -0.018
CMS_htt_em_01_8TeV_DYS120_bin_11             0.000 +/- 0.990    ! +0.888 +/- 1.710 (+0.897sig, 1.727)!     +0.139 +/- 0.987 (+0.140sig, 0.997)      -0.035
CMS_htt_em_01_8TeV_DYS120_bin_12             0.000 +/- 0.990    ! -0.392 +/- 1.645 (-0.396sig, 1.662)!     -0.200 +/- 0.988 (-0.202sig, 0.998)      +0.047
CMS_htt_em_01_8TeV_DYS120_bin_13             0.000 +/- 0.990     -0.459 +/- 1.165 (-0.464sig, 1.176)     +0.013 +/- 0.984 (+0.014sig, 0.994)      +0.009
CMS_htt_em_01_8TeV_DYS120_bin_14             0.000 +/- 0.990     +0.149 +/- 0.903 (+0.151sig, 0.912)     -0.022 +/- 0.987 (-0.022sig, 0.997)      -0.001
CMS_htt_em_01_8TeV_DYS120_bin_15             0.000 +/- 0.990     +0.063 +/- 1.285 (+0.064sig, 1.298)     +0.005 +/- 0.980 (+0.005sig, 0.990)      +0.002
CMS_htt_em_01_8TeV_DYS120_bin_16             0.000 +/- 0.990     +0.080 +/- 0.718 (+0.081sig, 0.725)     -0.006 +/- 0.993 (-0.006sig, 1.003)      +0.023
CMS_htt_em_01_8TeV_DYS120_bin_17             0.000 +/- 0.990     -0.353 +/- 0.779 (-0.357sig, 0.787)     +0.017 +/- 0.984 (+0.018sig, 0.994)      -0.038
CMS_htt_em_01_8TeV_DYS120_bin_18             0.000 +/- 0.990    ! -0.857 +/- 0.020 (-0.866sig, 0.020)!     +0.060 +/- 0.987 (+0.060sig, 0.996)      -0.037
CMS_htt_em_01_8TeV_DYS120_bin_8              0.000 +/- 0.990    ! +0.471 +/- 6.004 (+0.475sig, 6.064)!     +0.322 +/- 0.976 (+0.326sig, 0.986)      -0.042
CMS_htt_em_01_8TeV_DYS120_bin_9              0.000 +/- 0.990    ! -3.843 +/- 7.921 (-3.881sig, 8.000)!     +0.008 +/- 0.987 (+0.009sig, 0.997)      +0.011
