name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997    ! +7.000 +/- 0.033 (+7.024sig, 0.033)!     -0.709 +/- 0.917 (-0.712sig, 0.920)      -0.159
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.008 (+4.040sig, 0.008)!     +0.140 +/- 0.979 (+0.141sig, 0.989)      -0.035
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990     +3.390 +/- 0.890 (+3.423sig, 0.899)     -0.010 +/- 0.980 (-0.010sig, 0.990)      +0.010
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990     -0.032 +/- 0.984 (-0.032sig, 0.994)     -0.001 +/- 0.984 (-0.001sig, 0.994)      +0.000
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     -1.579 +/- 0.679 (-1.595sig, 0.686)      +0.007
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990     +3.075 +/- 0.873 (+3.105sig, 0.882)     -0.030 +/- 0.960 (-0.031sig, 0.970)      +0.021
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990     +2.468 +/- 0.788 (+2.492sig, 0.796)     -0.402 +/- 0.967 (-0.406sig, 0.977)      +0.002
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.008 (+4.040sig, 0.008)!     +0.050 +/- 0.981 (+0.051sig, 0.991)      -0.001
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.006 (+4.040sig, 0.006)!     +0.044 +/- 0.983 (+0.045sig, 0.993)      -0.012
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990     +3.886 +/- 0.622 (+3.925sig, 0.629)     -0.009 +/- 0.983 (-0.009sig, 0.993)      +0.006
CMS_htt_em_00_8TeV_WJets_bin_4               0.000 +/- 0.990    ! +3.876 +/- 1.555 (+3.914sig, 1.571)!     -0.043 +/- 0.933 (-0.043sig, 0.942)      +0.032
CMS_htt_em_00_8TeV_WJets_bin_5               0.000 +/- 0.990     +2.290 +/- 0.840 (+2.313sig, 0.848)     -0.447 +/- 0.963 (-0.452sig, 0.972)      +0.000
