name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997    ! +2.757 +/- 0.156 (+2.767sig, 0.156)!     +0.127 +/- 0.919 (+0.127sig, 0.922)      -0.159
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.005 (+4.040sig, 0.005)!     -0.049 +/- 0.962 (-0.050sig, 0.972)      +0.004
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.015 (+4.040sig, 0.015)!     -0.064 +/- 0.977 (-0.065sig, 0.986)      +0.004
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.008 (+4.040sig, 0.008)!     -0.235 +/- 0.863 (-0.237sig, 0.872)      -0.005
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.009 (+4.040sig, 0.009)!     -0.022 +/- 0.984 (-0.022sig, 0.994)      +0.006
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.006 (+4.040sig, 0.006)!     +0.064 +/- 0.982 (+0.065sig, 0.992)      -0.007
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +4.000 +/- 0.006 (+4.040sig, 0.006)!     -0.011 +/- 0.983 (-0.011sig, 0.993)      +0.001
CMS_htt_em_00_8TeV_TTbar_bin_5               0.000 +/- 0.990    ! +4.000 +/- 0.011 (+4.040sig, 0.011)!     -0.021 +/- 0.984 (-0.022sig, 0.993)      +0.001
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! -2.530 +/- 0.002 (-2.555sig, 0.002)!     -0.112 +/- 0.980 (-0.113sig, 0.990)      -0.098
CMS_htt_em_01_8TeV_DYB_bin_16                0.000 +/- 0.990     -1.284 +/- 0.658 (-1.297sig, 0.665)     -0.164 +/- 0.960 (-0.165sig, 0.970)      -0.018
CMS_htt_em_01_8TeV_DYB_bin_17                0.000 +/- 0.990     -2.173 +/- 1.014 (-2.195sig, 1.025)     +0.114 +/- 0.963 (+0.115sig, 0.972)      -0.007
CMS_htt_em_01_8TeV_DYB_bin_18                0.000 +/- 0.990    ! -3.857 +/- 6.194 (-3.895sig, 6.255)!     +0.244 +/- 0.965 (+0.247sig, 0.974)      -0.018
CMS_htt_em_01_8TeV_DYB_bin_19                0.000 +/- 0.990    ! -4.000 +/- 0.084 (-4.040sig, 0.085)!     -0.422 +/- 0.950 (-0.426sig, 0.960)      -0.050
CMS_htt_em_01_8TeV_DYS120_bin_10             0.000 +/- 0.990     +0.751 +/- 0.548 (+0.759sig, 0.554)     -0.086 +/- 0.982 (-0.087sig, 0.992)      +0.003
