name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997     +6.539 +/- 0.918 (+6.561sig, 0.921)     +0.170 +/- 0.927 (+0.171sig, 0.930)      -0.683
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990     +0.493 +/- 0.619 (+0.498sig, 0.626)     -0.029 +/- 0.880 (-0.030sig, 0.889)      +0.172
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990     +2.347 +/- 0.581 (+2.370sig, 0.586)     +0.637 +/- 0.852 (+0.643sig, 0.860)      +0.093
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.036 (+4.040sig, 0.036)!     -0.554 +/- 0.864 (-0.559sig, 0.873)      +0.213
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.112 (+4.040sig, 0.113)!     +0.209 +/- 0.890 (+0.211sig, 0.899)      -0.070
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     +0.354 +/- 0.843 (+0.358sig, 0.852)      -0.070
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.090 (+4.040sig, 0.091)!     +0.639 +/- 0.742 (+0.645sig, 0.749)      -0.041
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.011 (+4.040sig, 0.011)!     -0.007 +/- 0.901 (-0.007sig, 0.910)      +0.033
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 5.289 (+4.040sig, 5.341)!     -0.007 +/- 0.912 (-0.008sig, 0.921)      +0.098
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.263 (+4.040sig, 0.266)!     +0.132 +/- 0.940 (+0.133sig, 0.949)      +0.300
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +4.000 +/- 0.036 (+4.040sig, 0.036)!     -0.109 +/- 0.914 (-0.110sig, 0.924)      -0.143
CMS_htt_em_00_8TeV_TTbar_bin_5               0.000 +/- 0.990    ! +4.000 +/- 0.185 (+4.040sig, 0.187)!     +0.032 +/- 0.908 (+0.032sig, 0.917)      -0.118
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990     -0.317 +/- 0.979 (-0.320sig, 0.989)     -0.149 +/- 0.887 (-0.150sig, 0.896)      -0.066
CMS_htt_em_01_8TeV_DYB_bin_13                0.000 +/- 0.990     -1.319 +/- 0.907 (-1.332sig, 0.916)     -0.226 +/- 0.897 (-0.228sig, 0.906)      -0.321
