name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997    ! -0.115 +/- 0.143 (-0.115sig, 0.143)!     -0.160 +/- 0.920 (-0.161sig, 0.923)      -0.119
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.004 (+4.040sig, 0.004)!     +0.057 +/- 0.976 (+0.058sig, 0.986)      -0.038
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.006 (+4.040sig, 0.006)!     +0.221 +/- 0.982 (+0.223sig, 0.992)      -0.005
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +4.000 +/- 0.004 (+4.040sig, 0.004)!     -0.129 +/- 0.986 (-0.130sig, 0.996)      +0.007
CMS_htt_em_00_8TeV_TTbar_bin_5               0.000 +/- 0.990    ! +4.000 +/- 0.005 (+4.040sig, 0.005)!     +0.012 +/- 0.984 (+0.013sig, 0.994)      -0.008
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! -0.246 +/- 0.461 (-0.248sig, 0.465)!     -0.019 +/- 0.983 (-0.020sig, 0.993)      -0.056
CMS_htt_em_01_8TeV_DYB_bin_16                0.000 +/- 0.990    ! -0.821 +/- 0.429 (-0.829sig, 0.433)!     -0.087 +/- 0.961 (-0.088sig, 0.970)      -0.028
CMS_htt_em_01_8TeV_DYB_bin_17                0.000 +/- 0.990    ! -1.472 +/- 0.438 (-1.487sig, 0.443)!     +0.138 +/- 0.964 (+0.139sig, 0.973)      -0.017
CMS_htt_em_01_8TeV_DYB_bin_18                0.000 +/- 0.990    ! -3.177 +/- 0.446 (-3.208sig, 0.451)!     +0.264 +/- 0.966 (+0.266sig, 0.976)      -0.003
CMS_htt_em_01_8TeV_DYB_bin_19                0.000 +/- 0.990    ! -4.000 +/- 0.123 (-4.040sig, 0.124)!     -0.191 +/- 0.953 (-0.193sig, 0.963)      -0.091
CMS_htt_em_01_8TeV_DYS120_bin_1              0.000 +/- 0.990    ! -4.000 +/- 0.025 (-4.040sig, 0.026)!     -0.081 +/- 0.963 (-0.082sig, 0.973)      -0.217
CMS_htt_em_01_8TeV_DYS120_bin_10             0.000 +/- 0.990    ! -3.683 +/- 6.679 (-3.720sig, 6.746)!     -0.106 +/- 0.982 (-0.107sig, 0.992)      +0.018
CMS_htt_em_01_8TeV_DYS120_bin_11             0.000 +/- 0.990    ! +0.944 +/- 2.155 (+0.953sig, 2.176)!     +0.147 +/- 0.983 (+0.149sig, 0.993)      -0.010
CMS_htt_em_01_8TeV_DYS120_bin_12             0.000 +/- 0.990    ! -0.241 +/- 2.121 (-0.243sig, 2.142)!     -0.175 +/- 0.983 (-0.177sig, 0.993)      +0.029
CMS_htt_em_01_8TeV_DYS120_bin_13             0.000 +/- 0.990     -0.440 +/- 1.414 (-0.445sig, 1.428)     +0.017 +/- 0.983 (+0.018sig, 0.993)      -0.003
CMS_htt_em_01_8TeV_DYS120_bin_14             0.000 +/- 0.990     +0.186 +/- 1.007 (+0.188sig, 1.017)     -0.020 +/- 0.984 (-0.020sig, 0.994)      -0.001
CMS_htt_em_01_8TeV_DYS120_bin_15             0.000 +/- 0.990    ! +0.426 +/- 1.624 (+0.430sig, 1.641)!     +0.012 +/- 0.983 (+0.012sig, 0.993)      -0.008
CMS_htt_em_01_8TeV_DYS120_bin_16             0.000 +/- 0.990     +0.073 +/- 0.691 (+0.074sig, 0.698)     -0.006 +/- 0.984 (-0.006sig, 0.994)      -0.003
CMS_htt_em_01_8TeV_DYS120_bin_17             0.000 +/- 0.990     -0.445 +/- 0.806 (-0.450sig, 0.814)     +0.018 +/- 0.984 (+0.019sig, 0.994)      -0.006
CMS_htt_em_01_8TeV_DYS120_bin_18             0.000 +/- 0.990    ! -0.939 +/- 0.002 (-0.949sig, 0.002)!     +0.054 +/- 0.984 (+0.054sig, 0.993)      -0.007
CMS_htt_em_01_8TeV_DYS120_bin_8              0.000 +/- 0.990    ! +1.022 +/- 5.939 (+1.032sig, 5.999)!     +0.278 +/- 0.980 (+0.281sig, 0.989)      -0.040
CMS_htt_em_01_8TeV_DYS120_bin_9              0.000 +/- 0.990    ! -3.323 +/- 5.133 (-3.356sig, 5.184)!     +0.002 +/- 0.980 (+0.002sig, 0.990)      +0.004
CMS_htt_em_01_8TeV_QCD_bin_1                 0.000 +/- 0.990    ! -1.031 +/- 0.394 (-1.041sig, 0.398)!     -0.071 +/- 0.969 (-0.072sig, 0.979)      -0.213
CMS_htt_em_01_8TeV_QCD_bin_14                0.000 +/- 0.990    ! -4.000 +/- 0.304 (-4.040sig, 0.307)!     -0.807 +/- 0.563 (-0.815sig, 0.569)      -0.070
