name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997     +3.473 +/- 0.916 (+3.485sig, 0.919)    ! -0.204 +/- 1.573 (-0.205sig, 1.578)!      -0.829
CMS_htt_em_00_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.008 (+4.040sig, 0.008)!     +0.020 +/- 1.008 (+0.020sig, 1.018)      -0.453
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990     +3.852 +/- 0.541 (+3.890sig, 0.546)     -0.216 +/- 0.919 (-0.218sig, 0.928)      +0.205
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990     +1.935 +/- 0.839 (+1.955sig, 0.847)     +0.032 +/- 0.938 (+0.033sig, 0.948)      +0.265
CMS_htt_em_00_8TeV_DYS120_bin_4              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     +0.807 +/- 0.689 (+0.815sig, 0.695)      -0.006
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     -0.853 +/- 0.780 (-0.861sig, 0.788)      -0.791
CMS_htt_em_00_8TeV_QCD_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.005 (+4.040sig, 0.005)!     +0.046 +/- 0.967 (+0.046sig, 0.977)      -0.385
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990    ! +3.810 +/- 0.366 (+3.848sig, 0.370)!     -0.237 +/- 0.882 (-0.240sig, 0.891)      -0.201
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990    ! +2.888 +/- 0.392 (+2.916sig, 0.396)!     +0.049 +/- 0.945 (+0.049sig, 0.954)      -0.111
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990    ! +3.901 +/- 0.232 (+3.940sig, 0.235)!     +0.235 +/- 0.898 (+0.237sig, 0.907)      -0.127
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +1.412 +/- 0.124 (+1.426sig, 0.126)!    ! -0.166 +/- 2.052 (-0.168sig, 2.073)!      +0.822
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.482 (+4.040sig, 0.487)!     +0.002 +/- 0.907 (+0.002sig, 0.916)      +0.012
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990     +0.879 +/- 0.844 (+0.888sig, 0.852)     -0.037 +/- 0.923 (-0.038sig, 0.932)      +0.067
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990     +0.059 +/- 0.983 (+0.060sig, 0.993)     +0.001 +/- 0.907 (+0.001sig, 0.916)      -0.021
CMS_htt_em_00_8TeV_WJets_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.047 (+4.040sig, 0.048)!     +0.018 +/- 1.245 (+0.018sig, 1.257)      -0.654
CMS_htt_em_00_8TeV_WJets_bin_2               0.000 +/- 0.990     +2.046 +/- 0.910 (+2.067sig, 0.919)     -0.258 +/- 0.910 (-0.260sig, 0.919)      -0.144
CMS_htt_em_00_8TeV_WJets_bin_3               0.000 +/- 0.990     +1.681 +/- 0.937 (+1.697sig, 0.946)     +0.062 +/- 0.899 (+0.062sig, 0.908)      +0.251
CMS_htt_em_00_8TeV_WJets_bin_4               0.000 +/- 0.990     +0.986 +/- 0.973 (+0.996sig, 0.983)     +0.264 +/- 0.914 (+0.266sig, 0.923)      -0.231
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990     -0.195 +/- 0.983 (-0.196sig, 0.993)     -0.001 +/- 0.963 (-0.001sig, 0.972)      -0.196
CMS_htt_em_01_8TeV_DYB_bin_10                0.000 +/- 0.990     -0.260 +/- 0.962 (-0.262sig, 0.972)     -0.177 +/- 0.988 (-0.179sig, 0.998)      -0.348
CMS_htt_em_01_8TeV_DYB_bin_11                0.000 +/- 0.990     -0.758 +/- 0.960 (-0.766sig, 0.970)     +0.144 +/- 0.925 (+0.146sig, 0.935)      +0.149
CMS_htt_em_01_8TeV_DYB_bin_12                0.000 +/- 0.990     -0.168 +/- 0.963 (-0.170sig, 0.973)     -0.170 +/- 0.952 (-0.172sig, 0.962)      +0.284
CMS_htt_em_01_8TeV_DYB_bin_13                0.000 +/- 0.990     +0.173 +/- 0.960 (+0.175sig, 0.969)     -0.182 +/- 0.904 (-0.184sig, 0.913)      -0.005
CMS_htt_em_01_8TeV_DYB_bin_14                0.000 +/- 0.990     -0.411 +/- 0.961 (-0.416sig, 0.971)     +0.135 +/- 0.939 (+0.137sig, 0.948)      +0.243
CMS_htt_em_01_8TeV_DYB_bin_15                0.000 +/- 0.990     -1.335 +/- 0.898 (-1.349sig, 0.907)     +0.485 +/- 0.899 (+0.490sig, 0.908)      +0.139
CMS_htt_em_01_8TeV_DYB_bin_16                0.000 +/- 0.990     -0.785 +/- 0.888 (-0.793sig, 0.897)     -0.176 +/- 0.889 (-0.178sig, 0.898)      +0.002
CMS_htt_em_01_8TeV_DYB_bin_17                0.000 +/- 0.990     -0.107 +/- 0.985 (-0.108sig, 0.994)     -0.293 +/- 0.896 (-0.296sig, 0.905)      -0.154
