name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997     +2.779 +/- 0.795 (+2.788sig, 0.797)     -0.454 +/- 0.928 (-0.455sig, 0.932)      -0.211
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.022 (+4.040sig, 0.022)!     -0.321 +/- 0.974 (-0.324sig, 0.984)      +0.048
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.027 (+4.040sig, 0.027)!     +0.253 +/- 0.979 (+0.255sig, 0.989)      -0.045
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990     +1.090 +/- 0.904 (+1.100sig, 0.913)     +0.022 +/- 0.983 (+0.022sig, 0.993)      -0.007
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990     -0.021 +/- 0.984 (-0.021sig, 0.994)     -0.000 +/- 0.984 (-0.000sig, 0.994)      +0.000
CMS_htt_em_00_8TeV_DYS120_bin_4              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     +0.183 +/- 0.868 (+0.185sig, 0.876)      -0.017
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     -1.058 +/- 0.697 (-1.069sig, 0.704)      -0.030
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.126 (+4.040sig, 0.127)!     -0.621 +/- 0.886 (-0.627sig, 0.895)      +0.018
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.045 (+4.040sig, 0.045)!     +0.680 +/- 0.935 (+0.687sig, 0.944)      -0.046
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990     -1.309 +/- 0.843 (-1.322sig, 0.852)     +0.078 +/- 0.967 (+0.079sig, 0.976)      -0.017
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990     +0.177 +/- 0.908 (+0.178sig, 0.917)     -0.200 +/- 0.975 (-0.202sig, 0.985)      -0.004
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.002 (+4.040sig, 0.002)!     +0.004 +/- 0.985 (+0.004sig, 0.994)      -0.009
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.022 (+4.040sig, 0.023)!     -0.061 +/- 0.986 (-0.061sig, 0.996)      +0.008
