name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997    ! +4.323 +/- 0.354 (+4.337sig, 0.355)!    ! -0.463 +/- 0.285 (-0.465sig, 0.286)!      -0.113
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.021 (+4.040sig, 0.021)!     +0.080 +/- 0.628 (+0.081sig, 0.634)      -0.012
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.038 (+4.040sig, 0.039)!     +0.252 +/- 0.642 (+0.254sig, 0.649)      -0.017
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990     -0.157 +/- 0.500 (-0.159sig, 0.505)     +0.037 +/- 0.635 (+0.037sig, 0.641)      +0.001
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990     +0.492 +/- 0.502 (+0.497sig, 0.507)     -0.141 +/- 0.641 (-0.143sig, 0.647)      +0.004
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.741 (+0.000sig, 0.749)    ! -1.080 +/- 0.399 (-1.091sig, 0.403)!      +0.003
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.023 (+4.040sig, 0.023)!    ! +0.239 +/- 0.117 (+0.242sig, 0.119)!      -0.098
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.018 (+4.040sig, 0.018)!    ! +1.211 +/- 0.134 (+1.223sig, 0.135)!      -0.099
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990    ! +2.917 +/- 0.339 (+2.946sig, 0.343)!    ! +0.212 +/- 0.130 (+0.214sig, 0.132)!      -0.098
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.070 (+4.040sig, 0.071)!    ! -0.158 +/- 0.012 (-0.160sig, 0.012)!      -0.099
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.001 (+4.040sig, 0.001)!     -0.047 +/- 0.650 (-0.048sig, 0.657)      -0.004
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.013 (+4.040sig, 0.013)!     +0.017 +/- 0.647 (+0.017sig, 0.654)      -0.004
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.014 (+4.040sig, 0.014)!     +0.082 +/- 0.647 (+0.083sig, 0.653)      -0.003
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +2.914 +/- 0.306 (+2.943sig, 0.309)!     +0.011 +/- 0.648 (+0.011sig, 0.654)      +0.001
CMS_htt_em_00_8TeV_WJets_bin_5               0.000 +/- 0.990    ! +2.215 +/- 0.466 (+2.237sig, 0.470)!     -0.623 +/- 0.526 (-0.629sig, 0.532)      -0.004
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990     -2.529 +/- 0.732 (-2.554sig, 0.740)     +0.096 +/- 0.640 (+0.097sig, 0.646)      +0.011
CMS_htt_em_01_8TeV_DYB_bin_14                0.000 +/- 0.990     -1.183 +/- 0.698 (-1.194sig, 0.705)     -0.048 +/- 0.613 (-0.049sig, 0.619)      +0.003
CMS_htt_em_01_8TeV_DYB_bin_15                0.000 +/- 0.990     -1.821 +/- 0.741 (-1.840sig, 0.748)     -0.198 +/- 0.605 (-0.200sig, 0.611)      +0.007
