name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997     +3.512 +/- 0.787 (+3.524sig, 0.789)    ! -0.449 +/- 0.214 (-0.450sig, 0.214)!      +0.221
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.055 (+4.040sig, 0.056)!    ! -0.088 +/- 0.396 (-0.089sig, 0.400)!      +0.019
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.091 (+4.040sig, 0.092)!    ! +0.260 +/- 0.403 (+0.263sig, 0.407)!      -0.007
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990     -0.693 +/- 0.735 (-0.700sig, 0.743)    ! +0.096 +/- 0.401 (+0.097sig, 0.405)!      +0.009
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990     +0.161 +/- 0.795 (+0.163sig, 0.803)    ! -0.140 +/- 0.401 (-0.141sig, 0.405)!      -0.016
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.985 (+0.000sig, 0.995)    ! -1.005 +/- 0.248 (-1.015sig, 0.251)!      -0.056
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.055 (+4.040sig, 0.055)!     -0.146 +/- 0.542 (-0.147sig, 0.548)      +0.391
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.033 (+4.040sig, 0.033)!     +1.324 +/- 0.536 (+1.338sig, 0.541)      +0.391
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990     +2.611 +/- 0.599 (+2.637sig, 0.605)    ! +0.564 +/- 0.141 (+0.569sig, 0.143)!      +0.142
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.097 (+4.040sig, 0.098)!    ! -0.079 +/- 0.033 (-0.079sig, 0.033)!      +0.392
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.003 (+4.040sig, 0.003)!    ! -0.037 +/- 0.408 (-0.038sig, 0.412)!      +0.014
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.040 (+4.040sig, 0.040)!    ! -0.015 +/- 0.407 (-0.015sig, 0.411)!      +0.003
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.029 (+4.040sig, 0.029)!    ! +0.083 +/- 0.405 (+0.084sig, 0.410)!      +0.002
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990     +2.578 +/- 0.544 (+2.604sig, 0.549)    ! +0.031 +/- 0.406 (+0.032sig, 0.410)!      +0.007
CMS_htt_em_00_8TeV_WJets_bin_4               0.000 +/- 0.990    ! +3.940 +/- 5.515 (+3.979sig, 5.570)!    ! +0.405 +/- 0.325 (+0.409sig, 0.328)!      +0.003
CMS_htt_em_00_8TeV_WJets_bin_5               0.000 +/- 0.990     +1.691 +/- 0.724 (+1.708sig, 0.732)    ! -0.601 +/- 0.321 (-0.607sig, 0.324)!      -0.034
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990     -2.191 +/- 0.965 (-2.213sig, 0.975)    ! +0.091 +/- 0.401 (+0.091sig, 0.405)!      +0.027
