name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997     -0.135 +/- 0.975 (-0.136sig, 0.978)     +0.026 +/- 0.957 (+0.027sig, 0.960)      -0.287
CMS_htt_em_00_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.007 (+4.040sig, 0.007)!     +0.031 +/- 0.976 (+0.031sig, 0.986)      -0.040
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +3.933 +/- 0.270 (+3.972sig, 0.272)!     -0.634 +/- 0.949 (-0.641sig, 0.959)      +0.010
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.042 (+4.040sig, 0.043)!     +0.956 +/- 0.998 (+0.966sig, 1.008)      -0.086
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990     +2.780 +/- 0.741 (+2.808sig, 0.748)     -0.137 +/- 0.971 (-0.138sig, 0.981)      -0.025
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.025 (+4.040sig, 0.025)!     -0.003 +/- 0.976 (-0.003sig, 0.986)      -0.031
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.986 (+0.000sig, 0.996)     -0.060 +/- 0.954 (-0.060sig, 0.964)      -0.066
CMS_htt_em_00_8TeV_QCD_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.011 (+4.040sig, 0.011)!     +0.003 +/- 0.965 (+0.003sig, 0.974)      -0.044
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990     +2.320 +/- 0.558 (+2.343sig, 0.564)     -1.364 +/- 0.863 (-1.378sig, 0.871)      -0.109
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990     +2.886 +/- 0.555 (+2.915sig, 0.561)     -0.524 +/- 0.789 (-0.529sig, 0.797)      -0.142
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.015 (+4.040sig, 0.015)!     -0.051 +/- 0.883 (-0.052sig, 0.892)      -0.112
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.009 (+4.040sig, 0.009)!     -0.001 +/- 0.985 (-0.001sig, 0.994)      -0.006
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.100 (+4.040sig, 0.101)!     -0.132 +/- 0.989 (-0.134sig, 0.999)      +0.001
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.057 (+4.040sig, 0.058)!     +0.153 +/- 0.980 (+0.155sig, 0.990)      -0.010
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +4.000 +/- 0.020 (+4.040sig, 0.020)!     -0.037 +/- 0.985 (-0.037sig, 0.995)      -0.005
CMS_htt_em_00_8TeV_TTbar_bin_5               0.000 +/- 0.990    ! +4.000 +/- 0.061 (+4.040sig, 0.061)!     -0.002 +/- 0.984 (-0.002sig, 0.994)      -0.004
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990     -1.998 +/- 0.635 (-2.018sig, 0.641)     +0.240 +/- 0.973 (+0.242sig, 0.982)      +0.031
CMS_htt_em_01_8TeV_DYB_bin_13                0.000 +/- 0.990     -0.158 +/- 0.995 (-0.159sig, 1.005)     -0.078 +/- 0.958 (-0.079sig, 0.968)      +0.006
CMS_htt_em_01_8TeV_DYB_bin_14                0.000 +/- 0.990    ! -0.538 +/- 1.892 (-0.543sig, 1.911)!     -0.335 +/- 0.959 (-0.338sig, 0.968)      -0.004
CMS_htt_em_01_8TeV_DYB_bin_15                0.000 +/- 0.990     -0.720 +/- 0.986 (-0.727sig, 0.996)     +0.222 +/- 0.956 (+0.224sig, 0.965)      -0.011
CMS_htt_em_01_8TeV_DYB_bin_16                0.000 +/- 0.990     -0.446 +/- 0.998 (-0.451sig, 1.008)     +0.036 +/- 0.968 (+0.036sig, 0.978)      -0.053
CMS_htt_em_01_8TeV_DYB_bin_17                0.000 +/- 0.990     -0.540 +/- 1.011 (-0.545sig, 1.021)     -0.203 +/- 0.966 (-0.205sig, 0.976)      -0.001
