name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997    ! +0.747 +/- 0.134 (+0.750sig, 0.135)!    ! -0.184 +/- 0.382 (-0.184sig, 0.383)!      -0.125
CMS_htt_em_00_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.000 (+4.040sig, 0.000)!     -0.024 +/- 0.686 (-0.024sig, 0.693)      -0.052
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +2.667 +/- 1.750 (+2.693sig, 1.768)!     -0.301 +/- 0.675 (-0.304sig, 0.682)      -0.016
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.034 (+4.040sig, 0.034)!     +0.665 +/- 0.696 (+0.671sig, 0.703)      -0.026
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990    ! +2.774 +/- 0.001 (+2.801sig, 0.001)!     +0.100 +/- 0.662 (+0.101sig, 0.668)      +0.001
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.015 (+4.040sig, 0.015)!     -0.064 +/- 0.675 (-0.065sig, 0.682)      +0.003
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990    ! +0.000 +/- 0.285 (+0.000sig, 0.288)!     -0.171 +/- 0.615 (-0.173sig, 0.621)      +0.000
CMS_htt_em_00_8TeV_QCD_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.001 (+4.040sig, 0.001)!    ! -0.038 +/- 0.031 (-0.039sig, 0.031)!      -0.027
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990    ! +2.599 +/- 0.153 (+2.625sig, 0.155)!    ! -0.683 +/- 0.028 (-0.689sig, 0.028)!      -0.026
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.013 (+4.040sig, 0.013)!    ! +1.987 +/- 0.032 (+2.007sig, 0.032)!      -0.026
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990    ! +3.305 +/- 0.080 (+3.338sig, 0.081)!    ! +0.333 +/- 0.031 (+0.337sig, 0.031)!      -0.025
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.005 (+4.040sig, 0.005)!    ! -0.012 +/- 0.015 (-0.012sig, 0.015)!      -0.033
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.001 (+4.040sig, 0.001)!     -0.006 +/- 0.706 (-0.007sig, 0.713)      -0.012
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +2.877 +/- 0.002 (+2.905sig, 0.002)!     -0.065 +/- 0.707 (-0.066sig, 0.714)      -0.004
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +3.089 +/- 0.003 (+3.120sig, 0.003)!     +0.119 +/- 0.703 (+0.121sig, 0.710)      -0.004
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +3.098 +/- 0.000 (+3.128sig, 0.000)!     +0.023 +/- 0.703 (+0.023sig, 0.710)      +0.000
CMS_htt_em_00_8TeV_TTbar_bin_5               0.000 +/- 0.990    ! +4.000 +/- 0.070 (+4.040sig, 0.071)!     -0.014 +/- 0.705 (-0.014sig, 0.712)      +0.000
CMS_htt_em_00_8TeV_WJets_bin_5               0.000 +/- 0.990    ! +4.000 +/- 0.004 (+4.040sig, 0.004)!     -0.214 +/- 0.557 (-0.217sig, 0.562)      +0.002
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! -2.010 +/- 0.281 (-2.030sig, 0.284)!     +0.028 +/- 0.692 (+0.028sig, 0.699)      +0.022
CMS_htt_em_01_8TeV_DYB_bin_13                0.000 +/- 0.990    ! -0.053 +/- 0.259 (-0.054sig, 0.262)!     +0.036 +/- 0.657 (+0.036sig, 0.663)      +0.009
