name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997    ! +7.000 +/- 0.017 (+7.024sig, 0.017)!     -0.240 +/- 0.933 (-0.240sig, 0.937)      -0.205
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.034 (+4.040sig, 0.035)!     +0.361 +/- 0.967 (+0.364sig, 0.976)      -0.032
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.013 (+4.040sig, 0.013)!     +0.378 +/- 0.975 (+0.382sig, 0.985)      -0.045
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990     +4.000 +/- 1.285 (+4.040sig, 1.298)     -0.064 +/- 0.979 (-0.064sig, 0.989)      -0.011
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990     +0.155 +/- 0.947 (+0.156sig, 0.956)     -0.098 +/- 0.983 (-0.099sig, 0.993)      +0.002
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     -1.045 +/- 0.766 (-1.056sig, 0.773)      -0.087
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.026 (+4.040sig, 0.026)!     +0.836 +/- 0.905 (+0.844sig, 0.914)      -0.016
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.013 (+4.040sig, 0.013)!     +0.937 +/- 0.917 (+0.947sig, 0.926)      -0.048
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.085 (+4.040sig, 0.086)!     -0.214 +/- 0.908 (-0.216sig, 0.917)      -0.062
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.089 (+4.040sig, 0.090)!     -0.352 +/- 0.961 (-0.356sig, 0.970)      -0.019
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.002 (+4.040sig, 0.002)!     -0.076 +/- 0.988 (-0.076sig, 0.998)      -0.005
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.024 (+4.040sig, 0.024)!     +0.080 +/- 0.980 (+0.080sig, 0.990)      -0.006
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.012 (+4.040sig, 0.012)!     +0.081 +/- 0.982 (+0.081sig, 0.992)      -0.009
