name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997     +2.578 +/- 0.907 (+2.586sig, 0.910)     -1.360 +/- 0.917 (-1.365sig, 0.920)      -0.114
CMS_htt_em_00_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.005 (+4.040sig, 0.005)!     -0.125 +/- 0.989 (-0.126sig, 0.999)      -0.078
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.099 (+4.040sig, 0.100)!     -0.128 +/- 0.977 (-0.129sig, 0.986)      -0.017
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990     +3.405 +/- 0.632 (+3.439sig, 0.639)     +0.049 +/- 0.975 (+0.049sig, 0.985)      -0.016
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990     +1.829 +/- 0.714 (+1.847sig, 0.721)     +0.493 +/- 0.986 (+0.498sig, 0.995)      -0.068
CMS_htt_em_00_8TeV_DYS120_bin_4              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     +1.867 +/- 0.742 (+1.885sig, 0.749)      +0.108
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     -0.851 +/- 0.628 (-0.859sig, 0.634)      -0.036
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.390 (+4.040sig, 0.394)!     -0.249 +/- 0.942 (-0.251sig, 0.952)      -0.074
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990     +2.314 +/- 0.836 (+2.338sig, 0.844)     +0.103 +/- 0.944 (+0.104sig, 0.953)      -0.016
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990     +0.805 +/- 0.926 (+0.813sig, 0.936)     +0.647 +/- 0.965 (+0.654sig, 0.975)      +0.014
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990     +0.748 +/- 0.550 (+0.755sig, 0.555)     -0.220 +/- 0.906 (-0.222sig, 0.915)      +0.000
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.007 (+4.040sig, 0.007)!     -0.022 +/- 0.987 (-0.022sig, 0.996)      -0.013
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990     +4.000 +/- 0.849 (+4.040sig, 0.857)     -0.018 +/- 0.985 (-0.018sig, 0.995)      -0.003
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990     +4.000 +/- 0.896 (+4.040sig, 0.905)     +0.015 +/- 0.982 (+0.015sig, 0.992)      -0.006
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990     +1.262 +/- 0.565 (+1.275sig, 0.571)     +0.122 +/- 0.980 (+0.124sig, 0.990)      -0.014
CMS_htt_em_00_8TeV_WJets_bin_2               0.000 +/- 0.990     +4.000 +/- 0.503 (+4.040sig, 0.508)     -0.282 +/- 0.924 (-0.285sig, 0.933)      -0.085
CMS_htt_em_00_8TeV_WJets_bin_3               0.000 +/- 0.990     +1.164 +/- 0.939 (+1.175sig, 0.948)     +0.065 +/- 0.969 (+0.066sig, 0.978)      -0.009
CMS_htt_em_00_8TeV_WJets_bin_4               0.000 +/- 0.990     +0.604 +/- 0.955 (+0.610sig, 0.965)     +0.591 +/- 0.967 (+0.597sig, 0.976)      +0.014
CMS_htt_em_00_8TeV_WJets_bin_5               0.000 +/- 0.990     -0.000 +/- 0.984 (-0.000sig, 0.994)     -0.000 +/- 0.984 (-0.000sig, 0.994)      +0.000
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990     -4.000 +/- 0.857 (-4.040sig, 0.865)     -0.431 +/- 0.975 (-0.435sig, 0.985)      +0.140
CMS_htt_em_01_8TeV_DYB_bin_12                0.000 +/- 0.990     -0.556 +/- 0.959 (-0.561sig, 0.968)     -0.332 +/- 0.960 (-0.335sig, 0.970)      +0.011
CMS_htt_em_01_8TeV_DYB_bin_13                0.000 +/- 0.990     -0.201 +/- 0.970 (-0.203sig, 0.979)     +0.029 +/- 0.970 (+0.029sig, 0.979)      +0.006
CMS_htt_em_01_8TeV_DYB_bin_14                0.000 +/- 0.990     -1.996 +/- 0.922 (-2.016sig, 0.932)     -0.777 +/- 0.936 (-0.784sig, 0.945)      -0.024
