name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997    ! +7.000 +/- 12.757 (+7.024sig, 12.800)!     -0.054 +/- 0.939 (-0.055sig, 0.942)      -0.259
CMS_htt_em_00_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.004 (+4.040sig, 0.004)!     +0.008 +/- 0.987 (+0.008sig, 0.997)      -0.064
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.024 (+4.040sig, 0.025)!     -0.410 +/- 0.963 (-0.414sig, 0.973)      +0.016
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.029 (+4.040sig, 0.029)!     +0.261 +/- 0.979 (+0.264sig, 0.989)      -0.014
CMS_htt_em_00_8TeV_DYS120_bin_4              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     +0.528 +/- 0.663 (+0.534sig, 0.670)      +0.094
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     +0.013 +/- 0.712 (+0.013sig, 0.719)      +0.007
CMS_htt_em_00_8TeV_QCD_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.004 (+4.040sig, 0.004)!     +0.017 +/- 0.974 (+0.017sig, 0.984)      -0.100
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.021 (+4.040sig, 0.021)!     -0.589 +/- 0.906 (-0.595sig, 0.915)      -0.038
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.021 (+4.040sig, 0.021)!     +0.546 +/- 0.971 (+0.552sig, 0.981)      +0.015
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 6.042 (+4.040sig, 6.102)!     +0.117 +/- 0.972 (+0.118sig, 0.981)      +0.013
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990     +4.000 +/- 1.012 (+4.040sig, 1.022)     +0.007 +/- 0.969 (+0.007sig, 0.978)      -0.003
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.006 (+4.040sig, 0.006)!     +0.030 +/- 0.980 (+0.031sig, 0.990)      -0.009
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.050 (+4.040sig, 0.051)!     -0.065 +/- 0.987 (-0.065sig, 0.997)      +0.004
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.025 (+4.040sig, 0.025)!     +0.107 +/- 0.980 (+0.108sig, 0.990)      -0.001
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +2.340 +/- 0.461 (+2.363sig, 0.466)!     +0.038 +/- 0.982 (+0.039sig, 0.992)      +0.003
CMS_htt_em_00_8TeV_WJets_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.150 (+4.040sig, 0.152)!     -0.577 +/- 0.922 (-0.583sig, 0.931)      -0.035
CMS_htt_em_00_8TeV_WJets_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.064 (+4.040sig, 0.065)!     +0.645 +/- 0.959 (+0.652sig, 0.968)      +0.018
CMS_htt_em_00_8TeV_WJets_bin_4               0.000 +/- 0.990     +1.004 +/- 0.925 (+1.014sig, 0.934)     +0.141 +/- 0.966 (+0.142sig, 0.975)      +0.016
CMS_htt_em_00_8TeV_WJets_bin_5               0.000 +/- 0.990     +0.783 +/- 0.901 (+0.791sig, 0.910)     +0.003 +/- 0.980 (+0.003sig, 0.990)      -0.001
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990     -2.155 +/- 0.967 (-2.176sig, 0.977)     +0.129 +/- 0.970 (+0.130sig, 0.980)      +0.045
CMS_htt_em_01_8TeV_DYB_bin_13                0.000 +/- 0.990     -0.284 +/- 0.963 (-0.287sig, 0.972)     -0.041 +/- 0.958 (-0.042sig, 0.968)      +0.010
CMS_htt_em_01_8TeV_DYB_bin_14                0.000 +/- 0.990     -0.280 +/- 0.963 (-0.283sig, 0.973)     -0.383 +/- 0.960 (-0.387sig, 0.969)      -0.020
CMS_htt_em_01_8TeV_DYB_bin_15                0.000 +/- 0.990     +0.129 +/- 0.957 (+0.130sig, 0.966)     +0.133 +/- 0.965 (+0.134sig, 0.974)      -0.005
CMS_htt_em_01_8TeV_DYB_bin_16                0.000 +/- 0.990     -0.161 +/- 0.965 (-0.162sig, 0.975)     -0.005 +/- 0.969 (-0.005sig, 0.978)      -0.052
