name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997     +4.234 +/- 0.855 (+4.249sig, 0.858)     -0.355 +/- 0.950 (-0.356sig, 0.954)      -0.289
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.044 (+4.040sig, 0.044)!     +0.660 +/- 0.980 (+0.667sig, 0.990)      -0.082
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.048 (+4.040sig, 0.048)!     +0.142 +/- 0.980 (+0.143sig, 0.990)      -0.027
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990    ! -0.975 +/- 0.006 (-0.985sig, 0.006)!     -0.025 +/- 0.984 (-0.025sig, 0.994)      +0.001
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990     -0.019 +/- 0.985 (-0.019sig, 0.995)     +0.000 +/- 0.984 (+0.000sig, 0.994)      -0.000
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     -0.000 +/- 0.985 (-0.000sig, 0.994)     -1.037 +/- 0.702 (-1.048sig, 0.709)      -0.039
CMS_htt_em_00_8TeV_QCD_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.004 (+4.040sig, 0.004)!     -0.307 +/- 0.998 (-0.310sig, 1.008)      -0.080
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.059 (+4.040sig, 0.059)!     +0.784 +/- 0.990 (+0.791sig, 1.000)      +0.011
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.034 (+4.040sig, 0.035)!     +0.264 +/- 0.970 (+0.267sig, 0.979)      -0.013
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990     +1.300 +/- 0.801 (+1.313sig, 0.809)     -0.439 +/- 0.962 (-0.443sig, 0.971)      -0.052
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990     +1.643 +/- 0.833 (+1.659sig, 0.841)     -0.214 +/- 0.974 (-0.216sig, 0.984)      -0.007
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.002 (+4.040sig, 0.002)!     -0.090 +/- 0.991 (-0.091sig, 1.001)      +0.001
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.020 (+4.040sig, 0.020)!     +0.102 +/- 0.979 (+0.103sig, 0.988)      -0.008
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.010 (+4.040sig, 0.011)!     +0.040 +/- 0.983 (+0.040sig, 0.993)      -0.007
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +4.000 +/- 0.322 (+4.040sig, 0.325)!     -0.121 +/- 0.986 (-0.123sig, 0.996)      +0.001
CMS_htt_em_00_8TeV_WJets_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.071 (+4.040sig, 0.071)!     +0.840 +/- 0.965 (+0.849sig, 0.975)      +0.010
CMS_htt_em_00_8TeV_WJets_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.034 (+4.040sig, 0.034)!     +0.336 +/- 0.958 (+0.339sig, 0.967)      -0.020
CMS_htt_em_00_8TeV_WJets_bin_4               0.000 +/- 0.990     +1.965 +/- 0.744 (+1.985sig, 0.751)     -0.685 +/- 0.924 (-0.691sig, 0.933)      -0.086
CMS_htt_em_00_8TeV_WJets_bin_5               0.000 +/- 0.990     +2.269 +/- 0.723 (+2.292sig, 0.730)     -0.374 +/- 0.951 (-0.378sig, 0.960)      -0.013
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990     -3.558 +/- 0.938 (-3.594sig, 0.948)     +0.201 +/- 0.975 (+0.203sig, 0.985)      +0.002
CMS_htt_em_01_8TeV_DYB_bin_14                0.000 +/- 0.990     -1.036 +/- 0.953 (-1.047sig, 0.962)     -0.101 +/- 0.967 (-0.102sig, 0.977)      -0.024
CMS_htt_em_01_8TeV_DYB_bin_15                0.000 +/- 0.990     -1.538 +/- 0.946 (-1.553sig, 0.956)     -0.116 +/- 0.963 (-0.117sig, 0.973)      -0.003
CMS_htt_em_01_8TeV_DYB_bin_16                0.000 +/- 0.990     -1.532 +/- 0.940 (-1.547sig, 0.950)     -0.127 +/- 0.960 (-0.128sig, 0.970)      +0.023
