name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997    ! +7.000 +/- 0.028 (+7.024sig, 0.028)!     -0.033 +/- 0.935 (-0.033sig, 0.938)      -0.208
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.017 (+4.040sig, 0.017)!     +0.517 +/- 0.965 (+0.522sig, 0.975)      -0.059
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.016 (+4.040sig, 0.016)!     -0.065 +/- 0.957 (-0.066sig, 0.966)      -0.017
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.018 (+4.040sig, 0.018)!     +0.060 +/- 0.967 (+0.060sig, 0.977)      -0.025
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990     +1.908 +/- 0.833 (+1.927sig, 0.842)     -0.049 +/- 0.979 (-0.049sig, 0.989)      -0.008
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     -0.235 +/- 0.849 (-0.237sig, 0.857)      -0.083
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.023 (+4.040sig, 0.024)!     +0.141 +/- 0.888 (+0.143sig, 0.897)      -0.051
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990     +2.865 +/- 0.808 (+2.893sig, 0.816)     -0.158 +/- 0.921 (-0.160sig, 0.930)      -0.050
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.003 (+4.040sig, 0.003)!     -0.051 +/- 0.986 (-0.052sig, 0.996)      -0.005
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.014 (+4.040sig, 0.014)!     +0.108 +/- 0.979 (+0.109sig, 0.989)      -0.010
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.012 (+4.040sig, 0.012)!     -0.016 +/- 0.983 (-0.016sig, 0.993)      -0.004
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +4.000 +/- 0.011 (+4.040sig, 0.011)!     +0.016 +/- 0.983 (+0.016sig, 0.992)      -0.007
CMS_htt_em_00_8TeV_WJets_bin_5               0.000 +/- 0.990     +3.615 +/- 0.785 (+3.651sig, 0.793)     -0.163 +/- 0.922 (-0.165sig, 0.932)      -0.051
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990     -0.086 +/- 0.981 (-0.087sig, 0.991)     -0.058 +/- 0.982 (-0.058sig, 0.992)      -0.032
CMS_htt_em_01_8TeV_DYB_bin_14                0.000 +/- 0.990     -1.683 +/- 0.896 (-1.700sig, 0.905)     +0.027 +/- 0.962 (+0.027sig, 0.971)      +0.010
