name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997    ! +7.000 +/- 0.062 (+7.024sig, 0.062)!     -0.128 +/- 0.936 (-0.129sig, 0.939)      -0.219
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.026 (+4.040sig, 0.026)!     +0.296 +/- 0.958 (+0.299sig, 0.967)      -0.040
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.020 (+4.040sig, 0.020)!     +0.243 +/- 0.967 (+0.246sig, 0.976)      -0.041
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990     +2.135 +/- 0.651 (+2.156sig, 0.658)     -0.009 +/- 0.970 (-0.009sig, 0.979)      -0.023
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990     -0.003 +/- 0.984 (-0.003sig, 0.994)     +0.000 +/- 0.984 (+0.000sig, 0.994)      -0.000
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     -1.273 +/- 0.761 (-1.286sig, 0.769)      -0.131
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.034 (+4.040sig, 0.035)!     +0.597 +/- 0.903 (+0.603sig, 0.912)      -0.035
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.025 (+4.040sig, 0.025)!     +0.550 +/- 0.902 (+0.555sig, 0.911)      -0.050
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990     +3.210 +/- 0.696 (+3.242sig, 0.703)     -0.007 +/- 0.883 (-0.007sig, 0.892)      -0.067
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.245 (+4.040sig, 0.248)!     -0.519 +/- 0.948 (-0.524sig, 0.958)      -0.044
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.003 (+4.040sig, 0.003)!     -0.054 +/- 0.987 (-0.055sig, 0.996)      -0.005
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.018 (+4.040sig, 0.019)!     +0.064 +/- 0.980 (+0.064sig, 0.990)      -0.008
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.017 (+4.040sig, 0.017)!     +0.047 +/- 0.982 (+0.048sig, 0.992)      -0.007
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +4.000 +/- 0.463 (+4.040sig, 0.468)!     -0.003 +/- 0.983 (-0.003sig, 0.993)      -0.006
CMS_htt_em_00_8TeV_WJets_bin_4               0.000 +/- 0.990    ! +4.000 +/- 5.315 (+4.040sig, 5.368)!     -0.020 +/- 0.921 (-0.021sig, 0.930)      -0.050
CMS_htt_em_00_8TeV_WJets_bin_5               0.000 +/- 0.990     +1.599 +/- 0.579 (+1.615sig, 0.584)     -0.716 +/- 0.916 (-0.723sig, 0.925)      -0.062
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990     -0.103 +/- 0.982 (-0.104sig, 0.992)     -0.006 +/- 0.982 (-0.006sig, 0.991)      -0.035
CMS_htt_em_01_8TeV_DYB_bin_14                0.000 +/- 0.990     -1.830 +/- 0.887 (-1.848sig, 0.896)     -0.023 +/- 0.963 (-0.023sig, 0.973)      -0.005
CMS_htt_em_01_8TeV_DYB_bin_15                0.000 +/- 0.990     -2.292 +/- 0.936 (-2.315sig, 0.945)     -0.105 +/- 0.958 (-0.106sig, 0.968)      +0.017
CMS_htt_em_01_8TeV_DYB_bin_16                0.000 +/- 0.990     -2.225 +/- 0.928 (-2.248sig, 0.937)     -0.237 +/- 0.955 (-0.240sig, 0.964)      +0.016
CMS_htt_em_01_8TeV_DYB_bin_17                0.000 +/- 0.990     -3.294 +/- 0.883 (-3.326sig, 0.891)     -0.012 +/- 0.960 (-0.012sig, 0.970)      +0.015
CMS_htt_em_01_8TeV_DYB_bin_18                0.000 +/- 0.990     -3.495 +/- 0.895 (-3.530sig, 0.904)     +0.152 +/- 0.966 (+0.154sig, 0.975)      +0.007
CMS_htt_em_01_8TeV_DYB_bin_19                0.000 +/- 0.990     -4.000 +/- 0.542 (-4.040sig, 0.548)     -0.175 +/- 0.952 (-0.176sig, 0.961)      +0.114
CMS_htt_em_01_8TeV_DYS120_bin_1              0.000 +/- 0.990    ! -3.543 +/- 0.442 (-3.579sig, 0.446)!     -0.034 +/- 0.932 (-0.035sig, 0.941)      -0.153
CMS_htt_em_01_8TeV_DYS120_bin_10             0.000 +/- 0.990     +0.741 +/- 0.967 (+0.748sig, 0.976)     -0.106 +/- 0.983 (-0.107sig, 0.993)      +0.003
CMS_htt_em_01_8TeV_DYS120_bin_11             0.000 +/- 0.990     +0.674 +/- 0.975 (+0.681sig, 0.985)     +0.137 +/- 0.983 (+0.138sig, 0.993)      -0.013
CMS_htt_em_01_8TeV_DYS120_bin_12             0.000 +/- 0.990     +0.684 +/- 0.964 (+0.691sig, 0.974)     +0.002 +/- 0.983 (+0.002sig, 0.993)      -0.005
CMS_htt_em_01_8TeV_DYS120_bin_13             0.000 +/- 0.990     +0.035 +/- 0.981 (+0.035sig, 0.991)     -0.001 +/- 0.984 (-0.001sig, 0.994)      -0.002
CMS_htt_em_01_8TeV_DYS120_bin_14             0.000 +/- 0.990     +0.196 +/- 0.982 (+0.198sig, 0.992)     -0.001 +/- 0.984 (-0.001sig, 0.994)      -0.002
CMS_htt_em_01_8TeV_DYS120_bin_15             0.000 +/- 0.990     +0.180 +/- 0.979 (+0.181sig, 0.989)     -0.013 +/- 0.984 (-0.013sig, 0.994)      -0.000
CMS_htt_em_01_8TeV_DYS120_bin_16             0.000 +/- 0.990     +0.062 +/- 0.982 (+0.063sig, 0.991)     -0.020 +/- 0.984 (-0.021sig, 0.994)      +0.001
CMS_htt_em_01_8TeV_DYS120_bin_17             0.000 +/- 0.990     -0.557 +/- 0.971 (-0.562sig, 0.981)     -0.002 +/- 0.984 (-0.002sig, 0.994)      -0.000
CMS_htt_em_01_8TeV_DYS120_bin_7              0.000 +/- 0.990     +1.162 +/- 0.891 (+1.173sig, 0.900)     -0.023 +/- 0.976 (-0.023sig, 0.986)      -0.009
