name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997     +0.654 +/- 0.904 (+0.657sig, 0.907)     -1.099 +/- 0.918 (-1.102sig, 0.921)      -0.114
CMS_htt_em_00_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.009 (+4.040sig, 0.009)!     -0.032 +/- 0.987 (-0.033sig, 0.997)      -0.110
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990     +2.698 +/- 0.686 (+2.725sig, 0.693)     -0.238 +/- 0.978 (-0.240sig, 0.988)      +0.030
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990     +0.944 +/- 0.632 (+0.953sig, 0.638)     +0.236 +/- 0.971 (+0.239sig, 0.981)      -0.071
CMS_htt_em_00_8TeV_DYS120_bin_3              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     +0.754 +/- 0.815 (+0.761sig, 0.823)      -0.060
CMS_htt_em_00_8TeV_DYS120_bin_4              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     +0.630 +/- 0.693 (+0.636sig, 0.700)      -0.034
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)    ! -0.948 +/- 0.375 (-0.958sig, 0.378)!      -0.039
CMS_htt_em_00_8TeV_QCD_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.014 (+4.040sig, 0.014)!     +0.001 +/- 0.980 (+0.001sig, 0.990)      -0.161
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990     +2.392 +/- 0.721 (+2.416sig, 0.728)     -0.469 +/- 0.928 (-0.473sig, 0.937)      -0.030
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990     +0.563 +/- 0.860 (+0.568sig, 0.869)     +0.326 +/- 0.954 (+0.330sig, 0.964)      -0.036
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990     +1.467 +/- 0.549 (+1.481sig, 0.555)     +0.265 +/- 0.939 (+0.268sig, 0.948)      -0.022
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.015 (+4.040sig, 0.016)!     -0.001 +/- 0.985 (-0.001sig, 0.995)      -0.012
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990     +1.480 +/- 0.837 (+1.495sig, 0.845)     -0.021 +/- 0.985 (-0.021sig, 0.995)      +0.003
CMS_htt_em_00_8TeV_WJets_bin_2               0.000 +/- 0.990     +1.615 +/- 0.838 (+1.631sig, 0.846)     -0.541 +/- 0.907 (-0.546sig, 0.917)      -0.031
CMS_htt_em_00_8TeV_WJets_bin_3               0.000 +/- 0.990     +0.137 +/- 0.977 (+0.138sig, 0.987)     +0.143 +/- 0.978 (+0.145sig, 0.988)      -0.014
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990     -2.447 +/- 0.970 (-2.471sig, 0.979)     -0.244 +/- 0.976 (-0.246sig, 0.986)      +0.088
CMS_htt_em_01_8TeV_DYB_bin_12                0.000 +/- 0.990     -0.370 +/- 0.961 (-0.374sig, 0.971)     -0.378 +/- 0.959 (-0.382sig, 0.968)      +0.006
CMS_htt_em_01_8TeV_DYB_bin_13                0.000 +/- 0.990     -0.109 +/- 0.971 (-0.110sig, 0.980)     -0.017 +/- 0.969 (-0.017sig, 0.979)      -0.008
CMS_htt_em_01_8TeV_DYB_bin_14                0.000 +/- 0.990     -1.245 +/- 0.923 (-1.258sig, 0.932)     -0.658 +/- 0.919 (-0.665sig, 0.928)      -0.006
CMS_htt_em_01_8TeV_DYB_bin_15                0.000 +/- 0.990     -0.363 +/- 0.908 (-0.366sig, 0.917)     +0.157 +/- 0.958 (+0.159sig, 0.968)      +0.017
CMS_htt_em_01_8TeV_DYB_bin_16                0.000 +/- 0.990     -1.019 +/- 0.925 (-1.029sig, 0.934)     +0.058 +/- 0.966 (+0.059sig, 0.976)      +0.013
CMS_htt_em_01_8TeV_DYB_bin_17                0.000 +/- 0.990     -0.527 +/- 0.944 (-0.533sig, 0.953)     +0.120 +/- 0.971 (+0.121sig, 0.981)      +0.011
CMS_htt_em_01_8TeV_DYB_bin_18                0.000 +/- 0.990     -0.718 +/- 0.964 (-0.725sig, 0.974)     -0.006 +/- 0.966 (-0.006sig, 0.976)      +0.017
CMS_htt_em_01_8TeV_DYB_bin_19                0.000 +/- 0.990     -1.582 +/- 0.923 (-1.597sig, 0.932)     -0.371 +/- 0.925 (-0.375sig, 0.934)      +0.034
CMS_htt_em_01_8TeV_DYS120_bin_10             0.000 +/- 0.990     +0.070 +/- 0.979 (+0.071sig, 0.989)     -0.049 +/- 0.982 (-0.049sig, 0.992)      +0.004
CMS_htt_em_01_8TeV_DYS120_bin_11             0.000 +/- 0.990     +0.195 +/- 0.984 (+0.197sig, 0.994)     +0.026 +/- 0.984 (+0.026sig, 0.994)      -0.005
