name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997     -0.134 +/- 0.803 (-0.135sig, 0.806)     +0.014 +/- 0.926 (+0.014sig, 0.929)      -0.140
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.147 (+4.040sig, 0.149)!     -0.237 +/- 0.961 (-0.240sig, 0.971)      -0.001
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.055 (+4.040sig, 0.055)!     +1.313 +/- 0.986 (+1.326sig, 0.996)      -0.139
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990     +2.578 +/- 0.612 (+2.604sig, 0.618)     -0.062 +/- 0.965 (-0.062sig, 0.975)      -0.062
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.034 (+4.040sig, 0.034)!     -0.342 +/- 0.980 (-0.345sig, 0.990)      -0.004
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     -0.559 +/- 0.960 (-0.565sig, 0.970)      -0.102
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.017 (+4.040sig, 0.017)!     -0.910 +/- 0.901 (-0.919sig, 0.910)      -0.143
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.004 (+4.040sig, 0.004)!     -0.072 +/- 0.988 (-0.073sig, 0.998)      -0.000
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.033 (+4.040sig, 0.033)!     -0.054 +/- 0.986 (-0.054sig, 0.995)      -0.000
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.034 (+4.040sig, 0.034)!     +0.198 +/- 0.979 (+0.200sig, 0.989)      -0.018
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +4.000 +/- 0.014 (+4.040sig, 0.015)!     -0.021 +/- 0.984 (-0.021sig, 0.994)      -0.012
