name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997     +1.479 +/- 0.952 (+1.484sig, 0.955)     -0.186 +/- 0.977 (-0.186sig, 0.980)      -0.281
CMS_htt_em_00_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.093 (+4.040sig, 0.094)!     -0.152 +/- 0.991 (-0.154sig, 1.001)      -0.087
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +3.905 +/- 1.739 (+3.944sig, 1.757)!     +0.043 +/- 0.966 (+0.044sig, 0.976)      -0.027
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990     +0.322 +/- 1.019 (+0.326sig, 1.029)     +0.108 +/- 0.977 (+0.109sig, 0.986)      -0.039
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990     +0.387 +/- 0.981 (+0.391sig, 0.991)     +0.047 +/- 0.983 (+0.047sig, 0.993)      -0.012
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990     -0.000 +/- 0.985 (-0.000sig, 0.995)     -0.000 +/- 0.984 (-0.000sig, 0.994)      +0.000
CMS_htt_em_00_8TeV_DYS120_bin_4              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     +0.686 +/- 0.790 (+0.693sig, 0.798)      -0.104
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.984 (+0.000sig, 0.994)     -0.179 +/- 0.779 (-0.181sig, 0.786)      -0.065
CMS_htt_em_00_8TeV_QCD_bin_1                 0.000 +/- 0.990     +4.000 +/- 0.559 (+4.040sig, 0.564)     -0.300 +/- 0.971 (-0.303sig, 0.980)      -0.182
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990     +3.193 +/- 0.960 (+3.225sig, 0.969)     +0.057 +/- 0.896 (+0.058sig, 0.905)      -0.067
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990     +0.690 +/- 0.915 (+0.697sig, 0.925)     +0.318 +/- 0.933 (+0.321sig, 0.942)      -0.096
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990     +1.181 +/- 0.948 (+1.193sig, 0.958)     +0.378 +/- 0.935 (+0.381sig, 0.944)      -0.063
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990     +2.549 +/- 0.714 (+2.574sig, 0.721)     -0.080 +/- 0.943 (-0.081sig, 0.952)      -0.020
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.035 (+4.040sig, 0.036)!     -0.045 +/- 0.989 (-0.046sig, 0.999)      -0.014
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.162 (+4.040sig, 0.164)!     -0.006 +/- 0.984 (-0.006sig, 0.994)      -0.004
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990     +1.559 +/- 0.633 (+1.574sig, 0.639)     +0.019 +/- 0.982 (+0.019sig, 0.992)      -0.009
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +4.000 +/- 0.095 (+4.040sig, 0.096)!     +0.070 +/- 0.973 (+0.071sig, 0.983)      -0.018
