name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997    ! +3.997 +/- 0.215 (+4.011sig, 0.216)!     -0.293 +/- 0.916 (-0.294sig, 0.919)      -0.145
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.007 (+4.040sig, 0.007)!     +0.149 +/- 0.966 (+0.151sig, 0.976)      -0.064
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.008 (+4.040sig, 0.008)!     +0.189 +/- 0.982 (+0.191sig, 0.992)      -0.033
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.030 (+4.040sig, 0.030)!     -0.091 +/- 0.983 (-0.092sig, 0.992)      -0.010
CMS_htt_em_00_8TeV_DYS120_bin_4              0.000 +/- 0.990     +0.000 +/- 0.610 (+0.000sig, 0.617)     -0.874 +/- 0.726 (-0.883sig, 0.734)      -0.313
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.610 (+0.000sig, 0.617)     -2.950 +/- 0.590 (-2.980sig, 0.596)      -0.222
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990    ! +4.000 +/- 0.013 (+4.040sig, 0.013)!     +0.276 +/- 0.934 (+0.279sig, 0.944)      -0.081
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.012 (+4.040sig, 0.012)!     +0.395 +/- 0.970 (+0.399sig, 0.980)      -0.013
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.051 (+4.040sig, 0.051)!     -0.207 +/- 0.972 (-0.209sig, 0.982)      -0.052
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990     -0.817 +/- 0.501 (-0.826sig, 0.506)     -0.571 +/- 0.970 (-0.577sig, 0.980)      -0.016
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.001 (+4.040sig, 0.001)!     -0.037 +/- 0.989 (-0.037sig, 0.999)      -0.004
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.004 (+4.040sig, 0.004)!     +0.027 +/- 0.983 (+0.028sig, 0.993)      -0.012
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.004 (+4.040sig, 0.004)!     +0.046 +/- 0.983 (+0.046sig, 0.993)      -0.008
CMS_htt_em_00_8TeV_TTbar_bin_5               0.000 +/- 0.990    ! +0.494 +/- 0.123 (+0.499sig, 0.125)!     -0.236 +/- 0.989 (-0.239sig, 0.999)      +0.026
CMS_htt_em_00_8TeV_WJets_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.010 (+4.040sig, 0.010)!     +0.264 +/- 0.941 (+0.267sig, 0.950)      -0.083
CMS_htt_em_00_8TeV_WJets_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.008 (+4.040sig, 0.008)!     +0.472 +/- 0.963 (+0.477sig, 0.972)      -0.018
CMS_htt_em_00_8TeV_WJets_bin_4               0.000 +/- 0.990    ! +4.000 +/- 0.057 (+4.040sig, 0.057)!     -0.156 +/- 0.977 (-0.158sig, 0.987)      -0.041
CMS_htt_em_00_8TeV_WJets_bin_5               0.000 +/- 0.990     -0.935 +/- 0.606 (-0.945sig, 0.612)     -0.076 +/- 0.984 (-0.077sig, 0.994)      -0.002
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! -4.000 +/- 0.040 (-4.040sig, 0.040)!     -0.246 +/- 0.969 (-0.249sig, 0.979)      +0.137
CMS_htt_em_01_8TeV_DYB_bin_14                0.000 +/- 0.990     -2.717 +/- 0.537 (-2.744sig, 0.543)     -0.293 +/- 0.958 (-0.296sig, 0.968)      -0.009
CMS_htt_em_01_8TeV_DYB_bin_15                0.000 +/- 0.990     -1.958 +/- 0.538 (-1.977sig, 0.544)     -0.436 +/- 0.956 (-0.440sig, 0.966)      +0.021
CMS_htt_em_01_8TeV_DYB_bin_16                0.000 +/- 0.990     -1.750 +/- 0.536 (-1.767sig, 0.541)     -0.317 +/- 0.956 (-0.320sig, 0.966)      +0.001
CMS_htt_em_01_8TeV_DYB_bin_17                0.000 +/- 0.990     -1.934 +/- 0.562 (-1.953sig, 0.567)     +0.167 +/- 0.963 (+0.168sig, 0.973)      +0.006
CMS_htt_em_01_8TeV_DYB_bin_18                0.000 +/- 0.990     -2.638 +/- 0.584 (-2.665sig, 0.589)     +0.411 +/- 0.954 (+0.415sig, 0.964)      +0.028
CMS_htt_em_01_8TeV_DYB_bin_19                0.000 +/- 0.990    ! -4.000 +/- 0.156 (-4.040sig, 0.158)!     -0.244 +/- 0.922 (-0.247sig, 0.931)      +0.168
CMS_htt_em_01_8TeV_DYS120_bin_10             0.000 +/- 0.990     +1.173 +/- 0.602 (+1.185sig, 0.608)     -0.146 +/- 0.983 (-0.147sig, 0.993)      +0.008
CMS_htt_em_01_8TeV_DYS120_bin_11             0.000 +/- 0.990     +1.126 +/- 0.603 (+1.137sig, 0.609)     +0.128 +/- 0.983 (+0.130sig, 0.993)      -0.027
CMS_htt_em_01_8TeV_DYS120_bin_15             0.000 +/- 0.990     +0.328 +/- 0.607 (+0.331sig, 0.613)     -0.049 +/- 0.984 (-0.050sig, 0.994)      +0.000
CMS_htt_em_01_8TeV_DYS120_bin_7              0.000 +/- 0.990     +0.062 +/- 0.585 (+0.062sig, 0.591)     -0.243 +/- 0.978 (-0.245sig, 0.987)      +0.021
CMS_htt_em_01_8TeV_DYS120_bin_8              0.000 +/- 0.990     +1.739 +/- 0.592 (+1.757sig, 0.598)     +0.205 +/- 0.979 (+0.207sig, 0.989)      +0.009
CMS_htt_em_01_8TeV_DYS120_bin_9              0.000 +/- 0.990     +2.574 +/- 0.595 (+2.599sig, 0.601)     +0.021 +/- 0.981 (+0.021sig, 0.990)      -0.012
CMS_htt_em_01_8TeV_QCD_bin_13                0.000 +/- 0.990    ! -3.076 +/- 0.355 (-3.107sig, 0.358)!     +1.077 +/- 0.567 (+1.088sig, 0.572)      -0.093
CMS_htt_em_01_8TeV_QCD_bin_14                0.000 +/- 0.990    ! -4.000 +/- 0.062 (-4.040sig, 0.063)!     -1.022 +/- 0.582 (-1.033sig, 0.587)      -0.066
