name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997     +4.636 +/- 0.863 (+4.652sig, 0.866)     -0.009 +/- 0.948 (-0.010sig, 0.951)      -0.216
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.017 (+4.040sig, 0.017)!     +0.212 +/- 0.969 (+0.214sig, 0.979)      -0.006
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.020 (+4.040sig, 0.020)!     -0.045 +/- 0.975 (-0.046sig, 0.985)      -0.012
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.332 (+4.040sig, 0.335)!     -0.018 +/- 0.984 (-0.018sig, 0.993)      -0.009
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.985 (+0.000sig, 0.995)     -0.194 +/- 0.886 (-0.196sig, 0.895)      -0.136
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.019 (+4.040sig, 0.019)!     -0.150 +/- 0.870 (-0.151sig, 0.879)      -0.066
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.052 (+4.040sig, 0.052)!     -0.151 +/- 0.923 (-0.152sig, 0.932)      -0.101
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.005 (+4.040sig, 0.005)!     +0.022 +/- 0.983 (+0.023sig, 0.993)      -0.010
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.051 (+4.040sig, 0.051)!     -0.081 +/- 0.987 (-0.082sig, 0.997)      +0.007
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.021 (+4.040sig, 0.021)!     +0.041 +/- 0.983 (+0.042sig, 0.992)      -0.001
