name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997    ! +4.248 +/- 0.199 (+4.262sig, 0.200)!     -0.138 +/- 0.950 (-0.139sig, 0.954)      -0.246
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 0.006 (+4.040sig, 0.006)!     +0.149 +/- 0.975 (+0.151sig, 0.984)      -0.018
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.017 (+4.040sig, 0.017)!     +0.017 +/- 0.972 (+0.017sig, 0.982)      +0.017
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990    ! +1.807 +/- 0.398 (+1.825sig, 0.402)!     -0.046 +/- 0.983 (-0.046sig, 0.992)      -0.002
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     -0.000 +/- 0.540 (-0.000sig, 0.545)     -0.324 +/- 0.878 (-0.328sig, 0.887)      -0.032
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.013 (+4.040sig, 0.013)!     +0.048 +/- 0.886 (+0.048sig, 0.895)      +0.056
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.344 (+4.040sig, 0.348)!     -0.235 +/- 0.930 (-0.237sig, 0.939)      -0.035
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.001 (+4.040sig, 0.001)!     +0.015 +/- 0.984 (+0.015sig, 0.993)      -0.015
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.007 (+4.040sig, 0.007)!     -0.065 +/- 0.987 (-0.066sig, 0.996)      +0.014
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.005 (+4.040sig, 0.005)!     +0.031 +/- 0.983 (+0.031sig, 0.993)      -0.003
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +4.000 +/- 0.018 (+4.040sig, 0.019)!     +0.003 +/- 0.984 (+0.003sig, 0.994)      +0.003
CMS_htt_em_00_8TeV_WJets_bin_5               0.000 +/- 0.990    ! +3.730 +/- 0.325 (+3.768sig, 0.328)!     -0.230 +/- 0.933 (-0.233sig, 0.942)      -0.032
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! -2.806 +/- 0.000 (-2.834sig, 0.000)!     -0.079 +/- 0.978 (-0.080sig, 0.987)      -0.074
CMS_htt_em_01_8TeV_DYB_bin_14                0.000 +/- 0.990    ! -1.146 +/- 0.096 (-1.158sig, 0.097)!     -0.142 +/- 0.960 (-0.143sig, 0.969)      +0.011
CMS_htt_em_01_8TeV_DYB_bin_15                0.000 +/- 0.990    ! -1.376 +/- 0.102 (-1.390sig, 0.103)!     +0.322 +/- 0.959 (+0.325sig, 0.969)      -0.014
CMS_htt_em_01_8TeV_DYB_bin_16                0.000 +/- 0.990    ! -2.302 +/- 0.137 (-2.325sig, 0.138)!     +0.203 +/- 0.958 (+0.205sig, 0.968)      -0.018
CMS_htt_em_01_8TeV_DYB_bin_17                0.000 +/- 0.990     -1.162 +/- 0.783 (-1.173sig, 0.791)     -0.128 +/- 0.960 (-0.130sig, 0.970)      -0.003
CMS_htt_em_01_8TeV_DYB_bin_18                0.000 +/- 0.990     -2.546 +/- 0.972 (-2.571sig, 0.982)     +0.314 +/- 0.958 (+0.317sig, 0.967)      +0.007
CMS_htt_em_01_8TeV_DYB_bin_19                0.000 +/- 0.990    ! -3.213 +/- 1.641 (-3.245sig, 1.657)!     -0.387 +/- 0.963 (-0.391sig, 0.973)      -0.001
CMS_htt_em_01_8TeV_DYS120_bin_10             0.000 +/- 0.990     -2.216 +/- 0.520 (-2.238sig, 0.525)     +0.085 +/- 0.982 (+0.086sig, 0.992)      +0.002
CMS_htt_em_01_8TeV_DYS120_bin_11             0.000 +/- 0.990     +0.253 +/- 0.535 (+0.255sig, 0.540)     +0.031 +/- 0.984 (+0.031sig, 0.994)      +0.000
CMS_htt_em_01_8TeV_DYS120_bin_12             0.000 +/- 0.990     -0.188 +/- 0.520 (-0.190sig, 0.525)     -0.167 +/- 0.983 (-0.169sig, 0.992)      +0.018
CMS_htt_em_01_8TeV_DYS120_bin_13             0.000 +/- 0.990     +0.476 +/- 0.526 (+0.481sig, 0.531)     -0.018 +/- 0.984 (-0.018sig, 0.994)      -0.002
CMS_htt_em_01_8TeV_DYS120_bin_14             0.000 +/- 0.990     +0.477 +/- 0.531 (+0.482sig, 0.536)     -0.017 +/- 0.984 (-0.017sig, 0.994)      +0.000
