name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997     -0.010 +/- 0.851 (-0.010sig, 0.854)     -0.379 +/- 0.927 (-0.381sig, 0.930)      -0.115
CMS_htt_em_00_8TeV_DYB_bin_4                 0.000 +/- 0.990    ! +4.000 +/- 0.031 (+4.040sig, 0.031)!     -0.278 +/- 0.953 (-0.280sig, 0.962)      -0.078
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.024 (+4.040sig, 0.024)!     +0.024 +/- 0.971 (+0.024sig, 0.981)      -0.043
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990    ! +4.000 +/- 0.015 (+4.040sig, 0.015)!     +0.058 +/- 0.908 (+0.059sig, 0.918)      -0.106
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.005 (+4.040sig, 0.005)!     -0.083 +/- 0.987 (-0.084sig, 0.997)      +0.005
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990    ! +4.000 +/- 0.084 (+4.040sig, 0.085)!     -0.038 +/- 0.984 (-0.038sig, 0.994)      -0.006
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990    ! +4.000 +/- 0.040 (+4.040sig, 0.040)!     +0.209 +/- 0.979 (+0.211sig, 0.989)      -0.008
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +4.000 +/- 0.022 (+4.040sig, 0.023)!     -0.057 +/- 0.984 (-0.058sig, 0.994)      -0.017
CMS_htt_em_00_8TeV_TTbar_bin_5               0.000 +/- 0.990    ! +4.000 +/- 0.024 (+4.040sig, 0.024)!     +0.005 +/- 0.984 (+0.005sig, 0.994)      -0.008
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990     +0.012 +/- 0.983 (+0.013sig, 0.993)     +0.005 +/- 0.985 (+0.005sig, 0.995)      -0.027
CMS_htt_em_01_8TeV_DYB_bin_14                0.000 +/- 0.990     -2.543 +/- 0.922 (-2.569sig, 0.931)     -0.313 +/- 0.961 (-0.317sig, 0.970)      +0.008
CMS_htt_em_01_8TeV_DYB_bin_15                0.000 +/- 0.990     -1.641 +/- 0.958 (-1.657sig, 0.968)     -0.382 +/- 0.959 (-0.386sig, 0.969)      -0.007
CMS_htt_em_01_8TeV_DYB_bin_16                0.000 +/- 0.990     -1.614 +/- 0.961 (-1.630sig, 0.970)     -0.241 +/- 0.960 (-0.244sig, 0.970)      -0.026
CMS_htt_em_01_8TeV_DYB_bin_17                0.000 +/- 0.990     -0.934 +/- 0.980 (-0.943sig, 0.989)     +0.222 +/- 0.966 (+0.224sig, 0.975)      -0.029
CMS_htt_em_01_8TeV_DYB_bin_18                0.000 +/- 0.990     -2.411 +/- 0.961 (-2.435sig, 0.971)     +0.174 +/- 0.969 (+0.176sig, 0.978)      -0.016
