name                                                 pre fit                        b-only fit                           s+b fit         rho
CMS_eff_m                                    0.000 +/- 0.997     +0.834 +/- 1.353 (+0.837sig, 1.358)     -0.253 +/- 0.973 (-0.254sig, 0.976)      -0.252
CMS_htt_em_00_8TeV_DYB_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.027 (+4.040sig, 0.028)!     -0.235 +/- 0.987 (-0.237sig, 0.997)      -0.085
CMS_htt_em_00_8TeV_DYB_bin_2                 0.000 +/- 0.990     +3.659 +/- 0.559 (+3.696sig, 0.564)     +0.084 +/- 0.965 (+0.085sig, 0.975)      -0.042
CMS_htt_em_00_8TeV_DYB_bin_3                 0.000 +/- 0.990     +2.937 +/- 0.809 (+2.966sig, 0.817)     +0.117 +/- 0.982 (+0.118sig, 0.992)      -0.022
CMS_htt_em_00_8TeV_DYB_bin_5                 0.000 +/- 0.990     -0.008 +/- 0.932 (-0.009sig, 0.942)     -0.001 +/- 0.984 (-0.001sig, 0.994)      +0.000
CMS_htt_em_00_8TeV_DYS120_bin_3              0.000 +/- 0.990     +0.000 +/- 0.929 (+0.000sig, 0.938)     +1.471 +/- 0.785 (+1.485sig, 0.793)      -0.056
CMS_htt_em_00_8TeV_DYS120_bin_4              0.000 +/- 0.990     +0.000 +/- 0.929 (+0.000sig, 0.938)     +0.075 +/- 0.820 (+0.076sig, 0.828)      -0.051
CMS_htt_em_00_8TeV_DYS120_bin_5              0.000 +/- 0.990     +0.000 +/- 0.929 (+0.000sig, 0.938)     -1.033 +/- 0.682 (-1.043sig, 0.689)      -0.037
CMS_htt_em_00_8TeV_QCD_bin_1                 0.000 +/- 0.990    ! +4.000 +/- 0.092 (+4.040sig, 0.093)!     -0.349 +/- 0.971 (-0.353sig, 0.981)      -0.185
CMS_htt_em_00_8TeV_QCD_bin_2                 0.000 +/- 0.990     +2.198 +/- 0.789 (+2.220sig, 0.797)     +0.191 +/- 0.917 (+0.193sig, 0.926)      -0.069
CMS_htt_em_00_8TeV_QCD_bin_3                 0.000 +/- 0.990    ! +4.000 +/- 5.724 (+4.040sig, 5.781)!     +0.614 +/- 0.983 (+0.620sig, 0.993)      -0.047
CMS_htt_em_00_8TeV_QCD_bin_4                 0.000 +/- 0.990     +0.298 +/- 0.912 (+0.301sig, 0.921)     +0.050 +/- 0.933 (+0.050sig, 0.942)      -0.025
CMS_htt_em_00_8TeV_QCD_bin_5                 0.000 +/- 0.990     +0.190 +/- 0.761 (+0.192sig, 0.769)     -0.261 +/- 0.968 (-0.263sig, 0.978)      +0.008
CMS_htt_em_00_8TeV_TTbar_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.070 (+4.040sig, 0.071)!     -0.034 +/- 0.991 (-0.034sig, 1.001)      -0.015
CMS_htt_em_00_8TeV_TTbar_bin_2               0.000 +/- 0.990     +1.303 +/- 1.169 (+1.316sig, 1.181)     +0.010 +/- 0.984 (+0.011sig, 0.993)      -0.003
CMS_htt_em_00_8TeV_TTbar_bin_3               0.000 +/- 0.990     +1.686 +/- 1.214 (+1.703sig, 1.226)     +0.023 +/- 0.984 (+0.023sig, 0.993)      -0.002
CMS_htt_em_00_8TeV_TTbar_bin_4               0.000 +/- 0.990    ! +1.400 +/- 0.480 (+1.414sig, 0.485)!     +0.015 +/- 0.979 (+0.016sig, 0.988)      -0.005
CMS_htt_em_00_8TeV_WJets_bin_1               0.000 +/- 0.990    ! +4.000 +/- 0.093 (+4.040sig, 0.094)!     -0.381 +/- 0.971 (-0.385sig, 0.981)      -0.193
CMS_htt_em_00_8TeV_WJets_bin_2               0.000 +/- 0.990     +2.639 +/- 0.798 (+2.665sig, 0.806)     +0.237 +/- 0.876 (+0.240sig, 0.884)      -0.097
CMS_htt_em_00_8TeV_WJets_bin_3               0.000 +/- 0.990     +4.000 +/- 0.934 (+4.040sig, 0.944)     +0.735 +/- 0.968 (+0.743sig, 0.978)      -0.059
CMS_htt_em_00_8TeV_WJets_bin_4               0.000 +/- 0.990     +0.351 +/- 0.887 (+0.354sig, 0.895)     +0.054 +/- 0.914 (+0.055sig, 0.923)      -0.030
CMS_htt_em_00_8TeV_WJets_bin_5               0.000 +/- 0.990     +0.262 +/- 0.668 (+0.264sig, 0.675)     -0.377 +/- 0.948 (-0.381sig, 0.958)      +0.012
CMS_htt_em_01_8TeV_DYB_bin_1                 0.000 +/- 0.990     -0.290 +/- 0.926 (-0.293sig, 0.935)     -0.186 +/- 0.980 (-0.188sig, 0.990)      +0.002
CMS_htt_em_01_8TeV_DYB_bin_10                0.000 +/- 0.990     -0.227 +/- 0.963 (-0.229sig, 0.973)     -0.161 +/- 0.972 (-0.163sig, 0.981)      +0.008
CMS_htt_em_01_8TeV_DYB_bin_11                0.000 +/- 0.990     +0.037 +/- 1.135 (+0.037sig, 1.147)     +0.125 +/- 0.965 (+0.126sig, 0.975)      -0.003
CMS_htt_em_01_8TeV_DYB_bin_12                0.000 +/- 0.990     -0.635 +/- 0.942 (-0.641sig, 0.952)     -0.323 +/- 0.968 (-0.326sig, 0.977)      +0.030
CMS_htt_em_01_8TeV_DYB_bin_13                0.000 +/- 0.990     -0.343 +/- 0.948 (-0.347sig, 0.957)     -0.093 +/- 0.973 (-0.094sig, 0.983)      +0.028
CMS_htt_em_01_8TeV_DYB_bin_14                0.000 +/- 0.990     +0.091 +/- 0.912 (+0.092sig, 0.921)     +0.230 +/- 0.973 (+0.232sig, 0.983)      -0.007
